SearchCellID,Window,SearchFamily,SearchStatus,CoverageStatus,SourceDependenceGroup,DependencyAuditStatus,ReviewStatus,DedupeReviewStatus,Notes
RU22-02-R1,2022-02-24..2022-02-28,R1_ENERGY_REFINING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-02-R2,2022-02-24..2022-02-28,R2_ENERGY_STORAGE_EXPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-02-R3,2022-02-24..2022-02-28,R3_PIPELINE_PUMPING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-02-R4,2022-02-24..2022-02-28,R4_DEFENSE_INDUSTRY,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-02-R5,2022-02-24..2022-02-28,R5_STRATEGIC_AIR,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-02-R6,2022-02-24..2022-02-28,R6_GRID_SUPPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-02-R7,2022-02-24..2022-02-28,R7_LOGISTICS_OTHER,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-03-R1,2022-03,R1_ENERGY_REFINING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-03-R2,2022-03,R2_ENERGY_STORAGE_EXPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-03-R3,2022-03,R3_PIPELINE_PUMPING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-03-R4,2022-03,R4_DEFENSE_INDUSTRY,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-03-R5,2022-03,R5_STRATEGIC_AIR,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-03-R6,2022-03,R6_GRID_SUPPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-03-R7,2022-03,R7_LOGISTICS_OTHER,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-04-R1,2022-04,R1_ENERGY_REFINING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-04-R2,2022-04,R2_ENERGY_STORAGE_EXPORT,IN_PROGRESS,PARTIAL,DG_RU_OFFICIAL,NOT_REVIEWED,IN_PROGRESS,IN_PROGRESS,Targeted source recovery/discovery performed; full monthly-family protocol not yet complete.
RU22-04-R3,2022-04,R3_PIPELINE_PUMPING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-04-R4,2022-04,R4_DEFENSE_INDUSTRY,IN_PROGRESS,PARTIAL,DG_RU_OFFICIAL,NOT_REVIEWED,IN_PROGRESS,IN_PROGRESS,Targeted source recovery/discovery performed; full monthly-family protocol not yet complete.
RU22-04-R5,2022-04,R5_STRATEGIC_AIR,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-04-R6,2022-04,R6_GRID_SUPPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-04-R7,2022-04,R7_LOGISTICS_OTHER,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-05-R1,2022-05,R1_ENERGY_REFINING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-05-R2,2022-05,R2_ENERGY_STORAGE_EXPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-05-R3,2022-05,R3_PIPELINE_PUMPING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-05-R4,2022-05,R4_DEFENSE_INDUSTRY,IN_PROGRESS,PARTIAL,DG_RU_OFFICIAL,NOT_REVIEWED,IN_PROGRESS,IN_PROGRESS,Targeted source recovery/discovery performed; full monthly-family protocol not yet complete.
RU22-05-R5,2022-05,R5_STRATEGIC_AIR,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-05-R6,2022-05,R6_GRID_SUPPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
