DedupeClusterID,CanonicalEventID1pd,ClusterRowCount,MemberEventIDs,MemberDates,SourceURLs,RepresentativeText,DedupeBasis,CanonicalSelectionRule,CandidateCensusComplete
EXACT2022-0001,27256,5,27256|64692|88463|235336|279951,20220224,https://zona.media/online/2022/02/24/war,"— Минобороны России утверждает, что наступление ведут силы ДНР и ЛНР при огневой поддержке ВС РФ  — Ведомство настаивает, что атакует только высокоточным оружием и только инфраструктуру вооруженных сил Украины  — Видеозаписи о гражданских жертвах объявлены постановочными фейками  — Минобороны России сообщает, что некоторые части пограничников складывают оружие, по их позициям огонь не ведется  Полная расшифровка брифинга:  «В соответствии с решением верховного главнокомандующего вооруженными силами Российской Федерации, 24 февраля российские вооруженные силы приступили к проведению специальной военной операции по защите Донецкой и Луганской народных республик. Утром народные милиции ДНР и ЛНР, после продолжительных боев по отражению агрессии вооруженных сил Украины на территории республик, провели мобилизацию и создали группировки войск. В настоящее время они перешли в контрнаступление при огневой поддержке российских вооруженных сил. Ими прорван передний край эшелонированной и хорошо оборудованной в инженерном отношении обороны вооруженных сил Украины. Группировка войск Донецкой народной республики, наступая на Волноваху, продвинулась до 3 километров а группировка ЛНР, наступая в направлении населенного пункта Счастье, форсировала [реку] Северский Донец и продвинулась на полтора километра.  Сейчас группировки войск ДНР и ЛНР ведут бои и наносят огневое поражение противнику. Подразделения ВС Украины продолжают обстрелы мирных городов Донбасса, есть жертвы среди гражданского населения Донецкой и Луганской народных республик. ВС РФ никаких ракетных, авиационных или артиллерийских ударов по городам Украины не наносят. Военнослужащие погранслужбы Украины сопротивления российским подразделениям не оказали. Данные средств разведки показывают, что отдельные подразделения и военнослужащие ВС Украины массово покидают занимаемые позиции, бросая вооружение. Позиции подразделений ВСУ, сложивших оружие, ударам не подвергаются  Высокоточным оружием российских вооруженных сил выводится из строя только военная инфраструктура, это объекты ПВО, военные аэродромы, авиация ВСУ. Обращаем внимание СМИ, что Службой безопасности Украины готовятся и уже реализуются провокации по известным лекалам """"""""""""""""белых касок"""""""""""""""": в украинских городах проведены постановочные видеосъемки с якобы массовыми жертвами среди гражданского населения Украины. Подготовленные ролики распространяются через подконтрольные телеграм-каналы и социальные сети. Их целью является обвинение России в якобы неизбирательности и непропорциональности ударов для запугивания населения и трансляции на западных телеканалах. Особо хочу подчеркнуть: ВС России не наносят ударов по городам Украины, мирному населения ничего не угрожает».",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0002,27259,6,27259|64710|65177|88464|235342|279969,20220224,,"— Минобороны России утверждает, что наступление ведут силы ДНР и ЛНР при огневой поддержке ВС РФ — Ведомство настаивает, что атакует только высокоточным оружием и только инфраструктуру вооруженных сил Украины — Видеозаписи о гражданских жертвах объявлены постановочными фейками — Минобороны России сообщает, что некоторые части пограничников складывают оружие, по их позициям огонь не ведется Полная расшифровка брифинга: «В соответствии с решением верховного главнокомандующего вооруженными силами Российской Федерации, 24 февраля российские вооруженные силы приступили к проведению специальной военной операции по защите Донецкой и Луганской народных республик. Утром народные милиции ДНР и ЛНР, после продолжительных боев по отражению агрессии вооруженных сил Украины на территории республик, провели мобилизацию и создали группировки войск. В настоящее время они перешли в контрнаступление при огневой поддержке российских вооруженных сил. Ими прорван передний край эшелонированной и хорошо оборудованной в инженерном отношении обороны вооруженных сил Украины. Группировка войск Донецкой народной республики, наступая на Волноваху, продвинулась до 3 километров а группировка ЛНР, наступая в направлении населенного пункта Счастье, форсировала [реку] Северский Донец и продвинулась на полтора километра. Сейчас группировки войск ДНР и ЛНР ведут бои и наносят огневое поражение противнику. Подразделения ВС Украины продолжают обстрелы мирных городов Донбасса, есть жертвы среди гражданского населения Донецкой и Луганской народных республик. ВС РФ никаких ракетных, авиационных или артиллерийских ударов по городам Украины не наносят. Военнослужащие погранслужбы Украины сопротивления российским подразделениям не оказали. Данные средств разведки показывают, что отдельные подразделения и военнослужащие ВС Украины массово покидают занимаемые позиции, бросая вооружение. Позиции подразделений ВСУ, сложивших оружие, ударам не подвергаются Высокоточным оружием российских вооруженных сил выводится из строя только военная инфраструктура, это объекты ПВО, военные аэродромы, авиация ВСУ. Обращаем внимание СМИ, что Службой безопасности Украины готовятся и уже реализуются провокации по известным лекалам """"белых касок"""": в украинских городах проведены постановочные видеосъемки с якобы массовыми жертвами среди гражданского населения Украины. Подготовленные ролики распространяются через подконтрольные телеграм-каналы и социальные сети. Их целью является обвинение России в якобы неизбирательности и непропорциональности ударов для запугивания населения и трансляции на западных телеканалах. Особо хочу подчеркнуть: ВС России не наносят ударов по городам Украины, мирному населения ничего не угрожает».",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0003,44967,2,44967|121345,20220225,https://forbes.ua/news/putin-ogolosiv-pro-pochatok-viyskovoi-operatsii-na-donbasi-ta-proignoruvav-zvernennya-zelenskogo-golovni-novini-24022022-3843,"Міський голова Маріуполя Вадим Бойченко розповів про ситуацію у місті. Місто отримуватиме воду з резервного джерела – Старокримського водосховища; має енергозабезпечення, трапляються перебої через пошкодження трансформаторних підстанцій; житловий фонд зазнав великих пошкоджень. Міський транспорт працює; один диверсант був затриманий, є інформація про інші диверсійні групи; у лікарнях знаходиться 35 людей з пораненнями, з них 9 у тяжкому стані.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0004,52112,2,52112|52113,20220301,https://mil.in.ua/uk/news/na-vijskovomu-aerodromi-u-krymu-prolunav-potuzhnyj-vybuh/,"На військовому аеродромі у Криму пролунав потужний вибух. На військовому аеродромі Гвардійське, що в Криму, пролунав потужний вибух. Про це повідомляють місцеві жителі. Сталося це близько 14:00, післ...",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0005,52179,2,52179|62039,20220307,https://nv.ua/ukr/ukraine/events/vibuh-prolunav-na-aerodromi-belbek-shcho-vidomo-novini-ukrajini-50308881.html,"У Криму пролунав вибух у районі аеродрому Бельбек: гауляйтер Севастополя заявляє, що це «навчання»",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0006,231307,2,231307|231317,20220401,https://twitter.com/Novynarnia/status/1509468013971582977,Росія ракетами розбомбила нафтобазу у Фастові Київської області,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0007,81802,2,81802|220381,20220403,https://t.me/bbbreaking/121654,"Міноборони РФ заявляє про атаки на НПЗ у Кременчуці, аеродроми в Дніпрі та Полтаві",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0008,195449,2,195449|220646,20220410,https://twitter.com/ThomasVLinge/status/1514362168237596675,"Ночные взрывы на авиабазе Чернобаевка под Херсоном. Как утверждается, украинские силы обстреливают полосу, которая была превращена в базу российских военных сил.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0009,52635,2,52635|232722,20220419,https://mil.in.ua/uk/news/z-yavylysya-suputnykovi-znimky-znyshhenyh-elementiv-s-400-u-krymu/,"З’явилися супутникові знімки знищених елементів С-400 у Криму. З'явилися супутникові знімки позиції російської системи протиповітряної оборони С-400 та аеродрому у Джанкої.  Відповідні знімки оприлюднив проєк...",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0010,235943,2,235943|299422,20220504,https://www.pravda.com.ua/news/2022/05/4/7343902/,"Регіони: ракети по 8 областях і підстанціях залізниць, обстріли Миколаєва й Сумщини. Ввечері 3 травня російська армія випустила ракети по 8 областях України, вночі були обстріли Сумської області та Миколаєва, вранці у Донецькій області вдруге поспіль обстріляли Авдіївський коксохімічний завод, Донбас і Херсонщина – під постійними обстрілами.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
