event_id_1pd,date,R5PriorityV3,sources_matching,source_urls,asciiname,ADM1_NAME,location_method,RussiaTextHits,LaterYearHints,ResidualFlags,text_excerpt,CandidateCensusComplete
60643,20220302,L3_UA_GEO_NO_UA_ACTOR,nv,https://nv.ua/ukr/ukraine/events/zatrimano-koriguvalnika-yakiy-navodiv-raketi-rf-na-ivano-frankivskiy-aerodrom-50221587.html,Shevchenkovo,Ivano-Frankivs'k,REVIEW_NAME_ONLY_RU_SUPPORT,РФ,,RUSSIA_TEXT_HIT,"Захоплено коригувальника РФ, який наводив крилаті ракети на Івано-Франківський аеродром",FALSE
52135,20220304,L1_CRIMEA_GEO,militarnyy|nv,https://mil.in.ua/uk/news/poblyzu-aviabazy-gvardijske-v-krymu-stavsya-potuzhnyj-vybuh/|https://nv.ua/ukr/ukraine/events/rosiyani-zayavili-pro-raketnu-ataku-na-aviabazu-v-okupovanomu-krimu-shcho-vidomo-50398038.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"Поблизу авіабази “Гвардійське” в Криму стався потужний вибух. Поблизу авіабази """"""""""""""""Гвардійське"""""""""""""""" в окупованому Криму 4 березня стався потужний вибух. Про це повідомляють телеграм-канали з російської пропагандис... || Авіабазу росіян в окупованому Криму атакували ракетами: є поранені — росЗМІ",FALSE
52363,20220324,L1_CRIMEA_GEO,militarnyy|nv,https://mil.in.ua/uk/news/udarni-drony-atakuvaly-naftobazu-pid-simferopolem/|https://nv.ua/ukr/ukraine/events/krim-24-bereznya-u-selishchi-gvardiyske-gorit-naftobaza-novini-ukrajini-50403841.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,Ударні дрони атакували нафтобазу під Сімферополем. Ударні дрони атакували нафтобазу у населеному пункті Гвардійське під Сімферополем. Про це повідомляють місцеві жителі. Удар був завданий по н... || У Криму вночі пролунали вибухи: у районі селища Гвардійське палає нафтобаза,FALSE
81802,20220403,L3_UA_GEO_NO_UA_ACTOR,liveuamap,https://t.me/bbbreaking/121654,Poltava,Poltava,REVIEW_NAME_ONLY_RU_SUPPORT,РФ,,RUSSIA_TEXT_HIT,"Міноборони РФ заявляє про атаки на НПЗ у Кременчуці, аеродроми в Дніпрі та Полтаві",FALSE
232716,20220417,L1_CRIMEA_GEO,militarnyy|nv,https://mil.in.ua/uk/news/u-dzhankoyi-bilya-vijskovogo-aerodromu-urazyly-ob-yekty-rf/|https://nv.ua/ukr/ukraine/events/dzhankoy-17-kvitnya-pislya-vibuhiv-na-aerodromi-ye-zagibli-zmi-50410709.html|https://nv.ua/ukr/ukraine/events/dzhankoy-vibuhi-chim-atakuvali-aerodrom-i-chi-vikoristovuvali-atacms-katkov-novini-ukrajini-50410729.html|https://nv.u...,Dzhankoi,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT|POSSIBLE_COMPOSITE,У Джанкої пролунали вибухи біля аеродрому || У Джанкої у районі військового аеродрому уразили об’єкти РФ. У районі військового аеродрому окупантів у Джанкої ракети уразили російські об'єкти. Потужні удари біля кримського аеродрому сталися в ніч проти... || «Серйозна моральна травма для окупантів». Чому удар по аеродрому в Джанкої важливий і чи були там Циркони — Грабський,FALSE
232718,20220418,L1_CRIMEA_GEO,nv,https://nv.ua/ukr/ukraine/events/dzhankoy-u-gur-rozpovili-pro-vtrati-rosiyan-pislya-ataki-na-aerodrom-novini-ukrajini-50411129.html|https://nv.ua/ukr/ukraine/events/udari-po-aerodromu-v-dzhankoji-genshtab-pokazav-video-puskiv-50411207.html,Dzhankoi,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,Чотири установки С-400 та три РЛС. ГУР назвало втрати окупантів після атаки на аеродром у Джанкої || Удари по аеродрому в Джанкої: Генштаб показав відео пусків,FALSE
232725,20220502,L1_CRIMEA_GEO,militarnyy|nv,https://mil.in.ua/uk/news/z-yavylysya-suputnykovi-znimky-z-naslidkamy-novogo-udaru-po-aerodromu-v-krymu/|https://nv.ua/ukr/ukraine/events/dzhankoy-pislya-udaru-atacms-po-aerodromu-znikli-dva-rosiyski-radari-50415214.html|https://nv.ua/ukr/ukraine/events/udar-po-aerodromu-u-dzhankoji-30-kvitnya-z-yavilisya-suputnikovi-znimki-z-naslidkami-udariv-a...,Dzhankoi,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,З’явилися супутникові знімки з наслідками нового удару по аеродрому в Криму. З'явилися супутникові знімки військового аеродрому у Джанкої з наслідками нового ракетного удару. Відповідні світлини опублікував проєкт журналі... || Удар ракетами ATACMS по аеродрому в Джанкої: ЗМІ показали перші супутникові знімки з наслідками атаки || Удар ATACMS по аеродрому в Джанкої: два російські радари зникли з позицій — супутникові знімки,FALSE
52990,20220526,L1_CRIMEA_GEO,militarnyy,https://mil.in.ua/uk/news/z-yavylys-suputnykovi-znimky-naslidkiv-udaru-po-punktu-zv-yazku-v-krymu/,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,"З’явились супутникові знімки наслідків удару по пункту зв’язку в Криму . У мережі з'явились супутникові знімки, які демонструють наслідки удару по пункту зв'язку ФСБ РФ поблизу села Семидвір'я під Алуштою Про це повід...",FALSE
81965,20220618,L3_UA_GEO_NO_UA_ACTOR,nv,https://nv.ua/ukr/ukraine/events/viyna-rf-proti-ukrajini-okupanti-vdarili-raketami-kremenchuckomu-npz-i-tec-novini-ukrajini-50250716.html,Poltava,Poltava,REVIEW_NAME_ONLY_RU_SUPPORT,РФ,,RUSSIA_TEXT_HIT,Удар по Полтавщині: РФ атакувала Кременчуцький нафтопереробний завод і ТЕЦ вісьмома ракетами,FALSE
196390,20220622,L3_UA_GEO_NO_UA_ACTOR,nv,https://nv.ua/ukr/ukraine/events/zsu-znishchili-arsenal-zs-rf-u-hersonskiy-oblasti-video-novini-ukrajini-50251518.html,Kherson,Kherson,REVIEW_NAME_ONLY_RU_SUPPORT,РФ,,RUSSIA_TEXT_HIT,У соцмережах повідомили про знищення арсеналу РФ у Херсонській області — відео,FALSE
221478,20220623,L2_RUS_ACTOR_UA_GEO,nv,https://nv.ua/ukr/ukraine/events/rosiya-atakuye-raketami-rf-vipustila-raketi-z-litakiv-tu-95ms-novini-ukrajini-50333902.html,Kalinovka,Khmel'nyts'kyy,REVIEW_NAME_ONLY_RU_SUPPORT,РФ,,RUSSIA_TEXT_HIT,"Нічна атака РФ. Ціллю був військовий аеродром на Хмельниччині, усі 13 ракет збила ППО, пошкоджено приватні будинки — головне",FALSE
53324,20220702,L1_CRIMEA_GEO,nv,https://nv.ua/ukr/ukraine/events/znishcheni-propagandoyu-litaki-zsu-urazili-sklad-boyepripasiv-u-krimu-oleshchuk-pislya-udaru-rf-po-mirgorodu-50431720.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,«Знищені» пропагандою літаки ЗСУ уразили склад боєприпасів у Криму — Олещук після удару РФ по Миргороду — відео,FALSE
196679,20220712,L3_UA_GEO_NO_UA_ACTOR,liveuamap|unian,https://twitter.com/XEPCOH_UA/status/1546581235132252160|https://www.unian.ua/war/udar-zsu-po-skladu-v-noviy-kahovci-rosiyski-boyepripasi-vse-shche-detonuyut-novini-vtorgnennya-rosiji-v-ukrajinu-11899908.html,Kherson,Kherson,REVIEW_NAME_ONLY_RU_SUPPORT,,,POSSIBLE_COMPOSITE,У Новій Каховці досі вибухає російський склад з боєприпасами - голова Херсонської ОВА || Вибухи на складі боєприпасів у Новій Каховці Херсонської області,FALSE
53514,20220722,L1_CRIMEA_GEO,nv,https://nv.ua/ukr/ukraine/events/vibuhi-v-krimu-na-skladi-boyepripasiv-v-oktyabrskomu-pozhezha-foto-video-onlayn-novini-krimu-50340907.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,"Удар по логістиці РФ в Криму. В Октябрському детонує склад боєприпасів, оголошено евакуацію, рух Кримською залізницею зупинено",FALSE
53517,20220722,L1_CRIMEA_GEO,nv,https://nv.ua/ukr/ukraine/events/bavovna-v-krimu-marionetka-kremlya-aksonov-pidtverdiv-vluchannya-po-skladu-bk-ruh-zalizniceyu-prizupineniy-50340913.html|https://nv.ua/ukr/ukraine/events/situaciya-v-krimu-detonaciya-boyepripasiv-trivaye-meshkanciv-oktyabrskogo-vidselyayut-za-10-13-km-50340942.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"Вибухи в Криму: маріонетка Кремля Аксьонов підтвердив влучання по складу боєприпасів, рух залізницею призупинений || Вибухи в Криму: мешканців Октябрського через детонацію на складах боєприпасів відселяють за 10−13 км — Чубаров",FALSE
53520,20220722,L1_CRIMEA_GEO,nv,https://nv.ua/ukr/ukraine/events/vibuhi-v-krimu-na-skladi-boyepripasiv-v-oktyabrskomu-22-lipnya-foto-video-onlayn-novini-krimu-50340907.html|https://nv.ua/ukr/ukraine/events/vibuhi-v-krimu-na-skladi-boyepripasiv-v-oktyabrskomu-pozhezha-foto-video-onlayn-novini-krimu-50340907.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"Вибухи в Криму. ЗСУ підтвердили удар по складу боєприпасів і нафтобазі в Октябрському, оголошено евакуацію, рух залізницею зупинено — онлайн || Вибухи в Криму. ЗСУ знищили склад боєприпасів і нафтобазу в Октябрському, мешканців евакуювали, рух залізницею зупинено — головне || Вибухи в Криму. ЗСУ знищили склад боєприпасів і нафтобазу в Октябрському, мешканців евакуювали, рух залізницею призупиняли — головне",FALSE
53521,20220722,L1_CRIMEA_GEO,nv,https://nv.ua/ukr/ukraine/events/u-zsu-pidtverdili-uspishne-znishchennya-naftobazi-ta-skladiv-armiji-rf-v-okupovanomu-krimu-50340922.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,У ЗСУ підтвердили успішне знищення нафтобази та складів армії РФ в окупованому Криму,FALSE
221549,20220726,L3_UA_GEO_NO_UA_ACTOR,nv,https://nv.ua/ukr/ukraine/events/prichini-trivogi-zsu-vden-zbili-dva-kalibri-i-poperedzhayut-pro-novi-puski-raket-novini-ukrajini-50341871.html,Kalinovka,Khmel'nyts'kyy,REVIEW_NAME_ONLY_RU_SUPPORT,РФ,,RUSSIA_TEXT_HIT,"РФ направила атаку на Хмельницьку область, де розташований аеродром, ППО збила 36 крилатих ракет — головне",FALSE
53681,20220809,L1_CRIMEA_GEO,interfaxua|militarnyy|nv,https://interfax.com.ua/news/general/851431.html|https://mil.in.ua/uk/news/v-okupovanomu-krymu-na-aerodromi-v-novofedorivtsi-prolunaly-vybuhy/|https://nv.ua/ukr/ukraine/events/novofedorivka-minoboroni-ukrajini-potrolilo-okupantiv-u-krimu-50262085.html|https://nv.ua/ukr/ukraine/events/novofedorivka-svidki-rozpovili-pro-vibuhi-v-krimu-novini-ukraj...,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,На військовому аеродромі в Криму відбулася серія вибухів - ЗМІ || В окупованому Криму на аеродромі в Новофедорівці пролунали вибухи. На території військового аеродрому в Новофедорівці в окупованому Криму пролунали вибухи. Про це повідомляють очевидці та російські ЗМІ. Відео... || Біля аеродрому в окупованому Криму пролунало щонайменше 12 вибухів — очевидці,FALSE
53690,20220809,L1_CRIMEA_GEO,unian,https://www.unian.ua/war/klyuchoviy-aerodrom-aviaciji-rf-shcho-vidomo-pro-bazu-v-krimu-u-yakiy-lunali-vibuhi-novini-vtorgnennya-rosiji-v-ukrajinu-11935386.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,"Ключовий аеродром авіації РФ: що відомо про базу в Криму, на якій лунали вибухи",FALSE
53691,20220809,L1_CRIMEA_GEO,pravdaua,https://life.pravda.com.ua/society/2022/08/9/249946/|https://www.pravda.com.ua/news/2022/08/9/7362516/,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"""""Бавовняна республіка"""": як українці реагують на вибухи у Криму. У тимчасово окупованому росіянами Криму пролунали вибухи на військовому аеродромі у Новофедорівці. || У Криму вибухи на військовому аеродромі.",FALSE
53696,20220809,L1_CRIMEA_GEO,24tvua,https://24tv.ua/vibuhi-krimu-sogodni-pokazali-povne-video_n2120879|https://24tv.ua/vibuhi-u-krimu-09-08-2022-video-foto-shho-vidomo_n2120877,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"У Криму пролунали вибухи біля військового аеродрому: все, що відомо || У мережі показали повне відео вибухів на аеродромі в Криму: вражаючі кадри",FALSE
53720,20220809,L1_CRIMEA_GEO,24tvua|espreso,https://24tv.ua/bilya-aviabazi-rosiyan-krimu-prolunali-potuzhni-vibuhi_n2120789|https://espreso.tv/u-krimu-prolunali-vibukhi-v-rayoni-aviabazi-rosiyan-u-novofedorivtsi,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"Біля авіабази росіян у Криму пролунали потужні вибухи || У Криму пролунали вибухи в районі авіабази росіян у Новофедорівці, на півострові почали евакуацію мешканців у Сакському районі",FALSE
53727,20220810,L1_CRIMEA_GEO,militarnyy|nv,https://mil.in.ua/uk/news/do-vybuhiv-na-aerodromi-v-novofedorivtsi-prychetni-sso-ta-partyzany-zmi/|https://mil.in.ua/uk/news/rosiya-vtratyla-blyzko-10-litakiv-na-aviabazi-u-krymu-ps-zsu/|https://nv.ua/ukr/ukraine/events/novofedorivka-suputnikovi-znimki-naslidkiv-vibuhu-na-aerodromi-saki-novini-ukrajini-50262375.html|https://nv.ua/ukr/ukraine/eve...,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT|POSSIBLE_COMPOSITE,"До вибухів на аеродромі в Новофедорівці причетні ССО та партизани – американські ЗМІ. Вибухи в Новофедорівці в окупованому Криму могли статися через дії українських спецпризначенців та партизанів. Про це пишуть західні ЗМІ з посил... || Росія втратила близько 10 літаків на авіабазі у Криму – ПС ЗСУ. Повітряно-космічні сили Росії зазнали втрат у бойових літаках в наслідок вибухів на авіабазі в Криму. Командування Повітряних Сил ЗС України пов... || Чим ударили по військовій частині у Криму? Дві основні версії того, що і як частково знищило авіабазу РФ у Новофедорівці",FALSE
53735,20220810,L1_CRIMEA_GEO,unian,https://www.unian.ua/war/britaniya-shche-ne-znaye-tochnoji-prichini-vibuhu-na-aerodromi-v-krimu-ale-ce-ne-nedopalok-novini-vtorgnennya-rosiji-v-ukrajinu-11936820.html|https://www.unian.ua/war/u-bilomu-domi-prokomentuvali-vibuhi-na-aerodromi-v-krimu-novini-vtorgnennya-rosiji-v-ukrajinu-11935701.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"""""Підтримуємо зусилля України"""": у Білому домі прокоментували вибухи на аеродромі в Криму || Британія ще не знає точної причини вибуху на аеродромі в Криму, але """"це не недопалок""""",FALSE
53736,20220810,L1_CRIMEA_GEO,liga|unian,https://news.liga.net/politics/news/za-vzryvami-na-aviabaze-v-krymu-stoyal-ukrainskiy-spetsnaz-the-washington-post|https://www.unian.ua/war/arestovich-nazvav-dvi-neoficiyni-versiji-vibuhiv-na-viyskovomu-aerodromi-okupantiv-u-krimu-novini-vtorgnennya-rosiji-v-ukrajinu-11935614.html|https://www.unian.ua/war/novini-krimu-sogodni-mihaylo-podolyak-vi...,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"За взрывами на авиабазе в Крыму стоял украинский спецназ – The Washington Post || Арестович назвав дві неофіційні версії вибухів на військовому аеродромі окупантів у Криму || У Зеленського відповіли, чи причетна Україна до потужних вибухів у Криму на військовій авіабазі",FALSE
53748,20220810,L1_CRIMEA_GEO,24tvua,https://24tv.ua/mi-tut-do-chogo-podolyak-kazhe-shho-ukrayina-ne-prichetna-do_n2121130|https://24tv.ua/vibuhi-krimu-arestovich-rozpoviv-pro-shaleni-naslidki_n2121086|https://24tv.ua/yakiy-viglyad-maye-aerodrom-saki-krimu-sogodni-foto-novofedorivki_n2121854,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"За кілометр зносило дахи, уявіть, що тоді на аеродромі, – Арестович про наслідки вибухів у Криму || Ми тут до чого, – Подоляк каже, що Україна не причетна до вибухів на аеродромі у Криму || Який вигляд має аеродром в Криму після вибухів: з'явилися перші супутникові знімки",FALSE
53758,20220810,L1_CRIMEA_GEO,unian,https://www.unian.ua/war/vibuhi-v-sakah-stalo-vidomo-skilki-znishcheno-vorozhih-litakiv-novini-vtorgnennya-rosiji-v-ukrajinu-11935887.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,"Потужні вибухи на авіабазі РФ у Криму: стало відомо, скільки знищено літаків у Новофедорівці",FALSE
53760,20220810,L1_CRIMEA_GEO,unian,https://www.unian.ua/war/aerodrom-saki-v-krimu-u-povitryanih-silah-vislovilisya-pro-znishchennya-litakiv-novini-vtorgnennya-rosiji-v-ukrajinu-11935800.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,Вибухи на авіабазі РФ у Криму: у Повітряних силах висловилися про знищення літаків,FALSE
53778,20220810,L1_CRIMEA_GEO,ng|nv,https://nv.ua/ukr/ukraine/events/v-krymu-progremeli-neskolko-vzryvov-smi-50262027.html|https://www.ng.ru/news/745683.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT|POSSIBLE_COMPOSITE,"В Крыму более 60 многоквартирных домов повреждены в результате ЧП на аэродроме || «Дзвінок» для окупантів. Головне про вибухи на військовому аеродромі в Криму, реакцію РФ і коментарі України",FALSE
53784,20220811,L1_CRIMEA_GEO,nv,https://nv.ua/ukr/opinion/yak-putin-mstitime-za-udar-po-krimu-chogo-chekati-vid-viyni-ostanni-novini-50262593.html|https://nv.ua/ukr/ukraine/events/na-aerodromi-v-novofedorivci-v-krimu-znishchili-ponad-dev-yat-litakiv-novini-ukrajini-50262398.html|https://nv.ua/ukr/ukraine/events/novofedorivka-suputnikovi-znimki-aerodromu-saki-maxar-novini-ukraj...,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"Стала відома приблизна кількість знищеної російської техніки на аеродромі в Криму || Вирішальна фаза війни та найнебезпечніший період. Чого чекати від Путіна після удару по авіабазі в окупованому Криму, — британський журналіст || Удар по аеродрому в Криму: Росія втратила більш ніж дев’ять літаків — Повітряні сили ЗСУ",FALSE
53829,20220812,L1_CRIMEA_GEO,liga,https://news.liga.net/politics/news/aviatsiya-flota-rf-oslablena-britanskaya-razvedka-otsenila-vzryvy-na-aerodrome-v-krymu,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,Авиация флота РФ ослаблена. Британская разведка оценила взрывы на аэродроме в Крыму,FALSE
53833,20220812,L1_CRIMEA_GEO,nv,https://nv.ua/ukr/world/geopolitics/yaku-tehniku-rf-bulo-znishcheno-na-aerodromi-saki-v-pentagoni-vidpovili-novini-ukrajini-50262874.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,"Винищувачі та бомбардувальники. У Пентагоні розповіли, яку техніку РФ було знищено на аеродромі в Криму",FALSE
53892,20220815,L1_CRIMEA_GEO,nv,https://nv.ua/ukr/ukraine/events/chastota-vilotiv-rosiyskih-vinishchuvachiv-iz-aerodromu-belbeka-zrosla-50263352.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,Частота вильотів російських винищувачів із аеродрому Бельбека зросла після вибухів у Криму || Частота вильотів російських винищувачів з аеродрому Бельбек зросла після вибухів у Криму,FALSE
232741,20220816,L1_CRIMEA_GEO,nv|ria,https://nv.ua/ukr/ukraine/events/u-dzhankoji-vibuhi-shcho-vidbuvayetsya-v-okupovanomu-krimu-novini-ukrajini-50263432.html|https://nv.ua/ukr/ukraine/events/u-krimu-gorit-viyskova-chastina-ta-lunayut-vibuhi-novini-ukrajini-50263430.html|https://nv.ua/ukr/ukraine/events/vibuhi-v-dzhankoji-z-yavilisya-suputnikovi-znimki-rosiyskogo-skladu-boyepripasi...,Dzhankoi,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"У Криму під Джанкоєм горить російська військова частина та вибухає склад боєприпасів — Чубаров || Подоляк назвав ранкові вибухи на складі боєприпасів під Джанкоєм у Криму «демілітаризацією у дії» || Нова «детонація» у Криму — онлайн: під Джанкоєм масштабні вибухи на складі боєприпасів, пошкоджено залізничні колії, оголошено евакуацію",FALSE
53933,20220816,L1_CRIMEA_GEO,unian,https://www.unian.ua/war/vibuhi-v-krimu-na-aerodromi-v-gvardiyskomu-bulo-ponad-20-litakiv-rf-grozyev-novini-vtorgnennya-rosiji-v-ukrajinu-11943168.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,Вибухи в Криму: на аеродромі в Гвардійському було понад 20 літаків РФ - Грозєв,FALSE
