SourceEventID,VIINADate,ManualDecision,CountryScope,CarryForwardPotentialRussiaProper,DecisionReason,CandidateCensusComplete
60643,20220302,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,UKRAINE_OTHER,FALSE,Russian missile spotter/strike on Ivano-Frankivsk airfield; no Russia-proper target,FALSE
52135,20220304,EXCLUDE_CRIMEA_SCOPE_OR_WRONG_YEAR,CRIMEA_SEVASTOPOL,FALSE,Gvardijske/Symferopol airbase reporting is Crimea; one merged source is dated 2024, neither component can enter Russia-proper 2022,FALSE
52363,20220324,EXCLUDE_WRONG_YEAR_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Gvardijske oil-depot attack is a 24 Mar 2024 Crimea event,FALSE
81802,20220403,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,UKRAINE_OTHER,FALSE,Russian MoD claim concerns Kremenchuk refinery and Dnipro/Poltava airfields in Ukraine,FALSE
232716,20220417,EXCLUDE_WRONG_YEAR_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Dzhankoi airbase strike is 17 Apr 2024 and Crimea is outside Russia-proper scope,FALSE
232718,20220418,EXCLUDE_WRONG_YEAR_CRIMEA_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Follow-up to 17 Apr 2024 Dzhankoi strike,FALSE
232725,20220502,EXCLUDE_WRONG_YEAR_CRIMEA_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Follow-up to Apr/May 2024 Dzhankoi ATACMS strike,FALSE
52990,20220526,EXCLUDE_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,FSB communications target near Alushta is in occupied Crimea,FALSE
81965,20220618,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,UKRAINE_OTHER,FALSE,Russian missile strike on Kremenchuk refinery/CHP in Poltava Oblast,FALSE
196390,20220622,EXCLUDE_OUTSIDE_RUSSIA_PROPER,UKRAINE_OCCUPIED_OTHER,FALSE,Russian arsenal destroyed in Kherson Oblast Ukraine,FALSE
221478,20220623,EXCLUDE_WRONG_YEAR_RUSSIAN_ATTACK_ON_UKRAINE,UKRAINE_OTHER,FALSE,NV source is dated 23 Jun 2023 and concerns Russian attack on Khmelnytskyi airfield,FALSE
53324,20220702,EXCLUDE_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Ammunition-depot target is in occupied Crimea,FALSE
196679,20220712,EXCLUDE_OUTSIDE_RUSSIA_PROPER,UKRAINE_OCCUPIED_OTHER,FALSE,Nova Kakhovka ammunition depot is in Kherson Oblast,FALSE
53514,20220722,EXCLUDE_WRONG_YEAR_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Oktyabrske ammunition-depot/oil-base strike occurred 22 Jul 2023 in Crimea,FALSE
53517,20220722,EXCLUDE_WRONG_YEAR_CRIMEA_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Follow-up to 22 Jul 2023 Oktyabrske strike,FALSE
53520,20220722,EXCLUDE_WRONG_YEAR_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Ukraine-confirmed Oktyabrske strike occurred 22 Jul 2023 in Crimea,FALSE
53521,20220722,EXCLUDE_WRONG_YEAR_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Ukraine-confirmed oil-base/ammunition strike occurred 22 Jul 2023 in Crimea,FALSE
221549,20220726,EXCLUDE_WRONG_YEAR_RUSSIAN_ATTACK_ON_UKRAINE,UKRAINE_OTHER,FALSE,NV source is dated 26 Jul 2023 and concerns Russian mass missile attack on Khmelnytskyi Oblast,FALSE
53681,20220809,EXCLUDE_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Saki/Novofedorivka airbase explosions are in occupied Crimea,FALSE
53690,20220809,EXCLUDE_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Saki airbase is in occupied Crimea,FALSE
53691,20220809,EXCLUDE_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Novofedorivka airbase explosions are in occupied Crimea,FALSE
53696,20220809,EXCLUDE_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Novofedorivka airbase explosions are in occupied Crimea,FALSE
53720,20220809,EXCLUDE_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Novofedorivka/Saki airbase is in occupied Crimea,FALSE
53727,20220810,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Attribution/damage follow-up to Saki airbase explosions in Crimea,FALSE
53735,20220810,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Reaction/attribution follow-up to Saki event in Crimea,FALSE
53736,20220810,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Attribution discussion of Saki event in Crimea,FALSE
53748,20220810,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Reaction/satellite follow-up to Saki event in Crimea,FALSE
53758,20220810,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Saki damage follow-up in Crimea,FALSE
53760,20220810,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Saki damage follow-up in Crimea,FALSE
53778,20220810,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Saki consequences/reaction in Crimea,FALSE
53784,20220811,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Saki damage/analysis follow-up in Crimea,FALSE
53829,20220812,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Saki damage assessment in Crimea,FALSE
53833,20220812,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Saki equipment-loss assessment in Crimea,FALSE
53892,20220815,EXCLUDE_CRIMEA_SCOPE_NOT_NEW_EVENT,CRIMEA_SEVASTOPOL,FALSE,Belbek sortie-frequency report after prior Crimea explosions; no new strike,FALSE
232741,20220816,EXCLUDE_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Dzhankoi ammunition-depot explosions are in occupied Crimea,FALSE
53933,20220816,EXCLUDE_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Gvardijske airbase report concerns occupied Crimea,FALSE
53960,20220817,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Crimea ammunition/airfield aftermath; outside scope,FALSE
53997,20220818,EXCLUDE_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Belbek airbase explosions are in occupied Crimea,FALSE
54024,20220819,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,CRIMEA_SEVASTOPOL,FALSE,Belbek analysis/follow-up in Crimea,FALSE
54187,20220826,EXCLUDE_CRIMEA_SCOPE_NOT_NEW_EVENT,CRIMEA_SEVASTOPOL,FALSE,Aircraft relocation from Crimea after attacks; not a new Russia-proper strike,FALSE
18052,20220902,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,UKRAINE_OTHER,FALSE,Russian Aerospace Forces strike on Kryvyi Rih oil depot,FALSE
268162,20220906,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,UKRAINE_OTHER,FALSE,Russian missile strike on Kryvyi Rih oil depot,FALSE
197690,20220911,EXCLUDE_OUTSIDE_RUSSIA_PROPER,UKRAINE_OCCUPIED_OTHER,FALSE,Kakhovka ammunition depot is in Kherson Oblast,FALSE
54457,20220914,EXCLUDE_CRIMEA_SCOPE_NOT_NEW_EVENT,CRIMEA_SEVASTOPOL,FALSE,Operational-security story at Russian airbase in Crimea; no fresh strike,FALSE
54527,20220921,EXCLUDE_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Black Sea Fleet communications target near Verkhnosadove is in occupied Crimea,FALSE
197931,20220925,EXCLUDE_OUTSIDE_RUSSIA_PROPER,UKRAINE_OCCUPIED_OTHER,FALSE,Kherson ammunition depots/command post are in Ukrainian territory,FALSE
60832,20220930,EXCLUDE_WRONG_YEAR_NOT_ATTACK,UKRAINE_OTHER,FALSE,Source is dated 30 Sep 2023 and reports accidental pipeline rupture/fire in Ivano-Frankivsk Oblast,FALSE
54650,20221001,EXCLUDE_CRIMEA_SCOPE_NOT_ATTACK_CONFIRMED,CRIMEA_SEVASTOPOL,FALSE,Belbek airfield fire in Crimea; no confirmed external attack,FALSE
54710,20221007,EXCLUDE_WRONG_YEAR_CRIMEA_SCOPE,CRIMEA_SEVASTOPOL,FALSE,Feodosia oil-terminal strike occurred 7 Oct 2024 in occupied Crimea,FALSE
