event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text_terms,ru_scope_text_terms,representative_text,TriageStatus,TriageReason,CandidateCensusComplete,ScopeAuto,ScopeReason,EventFormAuto,EventFormReason,ExactReportDuplicateCluster,TriagePriority,ManualReviewRequired
255171,20220302,1,147885,mz,https://www.osce.org/chairmanship/513280,FUEL_STORAGE_TERMINAL,нефтебаз,удар|уничтож,710735,Chernihiv,Chernihiv,Chernihivs'ka,31.298652,51.491007,REVIEW,REVIEW_COORDINATE_NEAR_RU,16.908,491522,Snov,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,Украин,орел,"В Чернигове, по которому наносит удары авиация, из-под завалов вытащили тела 33 погибших людей и 18 раненых, сообщает ГСЧС Украины. Сейчас из-за продолжающих обстрелов спасательные работы временно приостановлены, уточняет ведомство. Мэр города Владислав Атрошенко сообщил, что российские бомбардировщики бомбили жилые дома, также снарядами были разрушены две школы. «За что воюют здесь россияне? Я не знаю, какой русский мир здесь спасают или от каких бандеровцев. <﻿…﻿> Россия воюя с мирным населением Украины, бомбя города, бомбя школы, жилые дома, она уничтожает будущее своих детей и будущее своих внуков. Она превращается в международного изгоя», — сказал Атрошенко. Во время утреннего обстрела города снаряд попал в нефтебазу, в результате резервуар загорелся.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_COORDINATE_NEAR_RU,FALSE,RUSSIA_PROPER,RUSSIAN_PLACE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P2_RUSSIA_FROM_AMBIGUOUS,TRUE
306768,20220610,1,1626579,meduza,https://twitter.com/GirkinGirkin/status/1537484323007483905,AMMUNITION_ARSENAL,склад боеприпас,ракет,809888,Kul'va,Luhans'k,Antratsytivs'kyi,38.944256,48.158547,REVIEW,REVIEW_COORDINATE_NEAR_RU,18.109,709709,Donetskiy Kryazh,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,,твер,"В поселке Хрустальном ракетой поражено промышленное здание, которое, как утверждается, использовалось как российский склад боеприпасов.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_COORDINATE_NEAR_RU,FALSE,RUSSIA_PROPER,RUSSIAN_PLACE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P2_RUSSIA_FROM_AMBIGUOUS,TRUE
314880,20220810,1,78888,liveuamap,https://t.me/bbbreaking/132365,STRATEGIC_AIRBASE,авіабаз,вибух|пожеж,7039154,Novofedorovka,Crimea,Saks'kyi,33.59224,45.08758,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,,твер,"Міноборони Росії стверджує, що причиною пожежі та подальших вибухів на авіабазі в Новофедорівці стали вибухи кількох авіабомб",REVIEW_LOCATION_AMBIGUOUS,REVIEW_DISPUTED_CRIMEA,FALSE,RUSSIA_PROPER,RUSSIAN_PLACE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P2_RUSSIA_FROM_AMBIGUOUS,TRUE
228979,20220224,21,147117|147131|370255,mz,https://www.facebook.com/anton.gerashchenko.7/posts/4865046130248862|https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,атак|уничтож,708251,Hostomel,Kiev,Kyievo-Sviatoshyns'kyi,30.264853,50.580265,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,твер,"Советник министра Украины Антон Геращенко сообщил об атаке российских вертолетов на аэродром в Гостомеле в Киевской области. Он опубликовал видео, на котором, по его словам, один из сбитых вертолетов, всего было сбито три.  На видео, снятых местными жителями, говорят, что вертолетов было «штук 20». «Бомбят аэропорт», — говорит голос за кадров. || При захвате аэродрома в Гостомеле под Киевом были убиты больше «200 националистов», утверждает российское Минобороны. «При захвате аэродрома было уничтожено более двухсот националистов из состава специальных подразделений Украины», — сказали в военном ведомстве. || Советник министра Украины Антон Геращенко сообщил об атаке российских вертолетов на аэродром в Гостомеле в Киевской области. Он опубликовал видео, на котором, по его словам, один из сбитых вертолетов, всего было сбито три. На видео, снятых местными жителями, говорят, что вертолетов было «штук 20». «Бомбят аэропорт», — говорит голос за кадров.",REVIEW_TEXT_RUSSIA_UA_ACTOR,UA_ACTOR_TEXT+RU_SCOPE_TEXT,FALSE,RUSSIA_PROPER,RUSSIAN_PLACE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P1_RUSSIA_UA_ACTOR,TRUE
342494,20220224,6,147023,mz,https://www.facebook.com/anton.gerashchenko.7/posts/4865046130248862,STRATEGIC_AIRBASE,аэродром,Уничтож|ракет,11550168,Nahortsi,Kiev,Ivankivs'kyi,30.12291,51.37472,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,украин,твер,"Российские СМИ публикуют информацию от Минобороны России. Территория в районе Чернобыльской АЭС накануне была взята под полный контроль российских войск, с военнослужащими украинского батальона охраны станции «достигнута договоренность о совместном обеспечении безопасности», радиоактивный фон в норме (при этом в инспекции ядерного регулирования Украины говорят, что радиоционный фон повысился из-за перемещения тяжеловесной техники по земле). В районе острова Змеиный сдались 82 украинских военных, с них берут подписку об отказе от боев и отпускают, утверждают в министерстве. Всего сложили оружие более 150 военных. Уничтожено 11 военных аэродромов, 13 пунктов управления, 14 зенитных ракетных комплексов ПВО, 36 радиолокационных станций, 11 летательных аппаратов, 18 бронированных машин, семь систем залпового огня.",REVIEW_TEXT_RUSSIA_UA_ACTOR,UA_ACTOR_TEXT+RU_SCOPE_TEXT,FALSE,RUSSIA_PROPER,RUSSIAN_PLACE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,EXACT2022-0079,P1_RUSSIA_UA_ACTOR,TRUE
347733,20220224,15,147024,mz,https://www.facebook.com/anton.gerashchenko.7/posts/4865046130248862,STRATEGIC_AIRBASE,аэродром,Уничтож|ракет,,,,,30.2033074001998,45.25480665,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,украин,твер,"Российские СМИ публикуют информацию от Минобороны России. Территория в районе Чернобыльской АЭС накануне была взята под полный контроль российских войск, с военнослужащими украинского батальона охраны станции «достигнута договоренность о совместном обеспечении безопасности», радиоактивный фон в норме (при этом в инспекции ядерного регулирования Украины говорят, что радиоционный фон повысился из-за перемещения тяжеловесной техники по земле). В районе острова Змеиный сдались 82 украинских военных, с них берут подписку об отказе от боев и отпускают, утверждают в министерстве. Всего сложили оружие более 150 военных. Уничтожено 11 военных аэродромов, 13 пунктов управления, 14 зенитных ракетных комплексов ПВО, 36 радиолокационных станций, 11 летательных аппаратов, 18 бронированных машин, семь систем залпового огня.",REVIEW_TEXT_RUSSIA_UA_ACTOR,UA_ACTOR_TEXT+RU_SCOPE_TEXT,FALSE,RUSSIA_PROPER,RUSSIAN_PLACE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,EXACT2022-0079,P1_RUSSIA_UA_ACTOR,TRUE
145205,20220225,28,147404,mz,https://zona.media/online/2022/02/24/war-2,STRATEGIC_AIRBASE,аэродром,уничтож,703448,Kyiv,Kiev City,Shevchenkivs'kyi,30.52355,50.450441,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,твер,"При захвате аэродрома в Гостомеле под Киевом были убиты больше «200 националистов», утверждает российское Минобороны.  «При захвате аэродрома было уничтожено более двухсот националистов из состава специальных подразделений Украины», — сказали в военном ведомстве.",REVIEW_TEXT_RUSSIA_UA_ACTOR,UA_ACTOR_TEXT+RU_SCOPE_TEXT,FALSE,RUSSIA_PROPER,RUSSIAN_PLACE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,EXACT2022-0080,P1_RUSSIA_UA_ACTOR,TRUE
229015,20220225,3,147403,mz,https://zona.media/online/2022/02/24/war-2,STRATEGIC_AIRBASE,аэродром,уничтож,708251,Hostomel,Kiev,Kyievo-Sviatoshyns'kyi,30.264853,50.580265,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,твер,"При захвате аэродрома в Гостомеле под Киевом были убиты больше «200 националистов», утверждает российское Минобороны.  «При захвате аэродрома было уничтожено более двухсот националистов из состава специальных подразделений Украины», — сказали в военном ведомстве.",REVIEW_TEXT_RUSSIA_UA_ACTOR,UA_ACTOR_TEXT+RU_SCOPE_TEXT,FALSE,RUSSIA_PROPER,RUSSIAN_PLACE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,EXACT2022-0080,P1_RUSSIA_UA_ACTOR,TRUE
342498,20220225,3,147348,mz,https://zona.media/online/2022/02/24/war-2,STRATEGIC_AIRBASE,аэродром,Уничтож|ракет,11550168,Nahortsi,Kiev,Ivankivs'kyi,30.12291,51.37472,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,украин,твер,"Российские СМИ публикуют информацию от Минобороны России.  Территория в районе Чернобыльской АЭС накануне была взята под полный контроль российских войск, с военнослужащими украинского батальона охраны станции «достигнута договоренность о совместном обеспечении безопасности», радиоактивный фон в норме (при этом в инспекции ядерного регулирования Украины говорят, что радиоционный фон повысился из-за перемещения тяжеловесной техники по земле).  В районе острова Змеиный сдались 82 украинских военных, с них берут подписку об отказе от боев и отпускают, утверждают в министерстве. Всего сложили оружие более 150 военных.   Уничтожено 11 военных аэродромов, 13 пунктов управления, 14 зенитных ракетных комплексов ПВО, 36 радиолокационных станций, 11 летательных аппаратов, 18 бронированных машин, семь систем залпового огня.",REVIEW_TEXT_RUSSIA_UA_ACTOR,UA_ACTOR_TEXT+RU_SCOPE_TEXT,FALSE,RUSSIA_PROPER,RUSSIAN_PLACE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,EXACT2022-0081,P1_RUSSIA_UA_ACTOR,TRUE
347748,20220225,6,147349,mz,https://zona.media/online/2022/02/24/war-2,STRATEGIC_AIRBASE,аэродром,Уничтож|ракет,,,,,30.2033074001998,45.25480665,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,украин,твер,"Российские СМИ публикуют информацию от Минобороны России.  Территория в районе Чернобыльской АЭС накануне была взята под полный контроль российских войск, с военнослужащими украинского батальона охраны станции «достигнута договоренность о совместном обеспечении безопасности», радиоактивный фон в норме (при этом в инспекции ядерного регулирования Украины говорят, что радиоционный фон повысился из-за перемещения тяжеловесной техники по земле).  В районе острова Змеиный сдались 82 украинских военных, с них берут подписку об отказе от боев и отпускают, утверждают в министерстве. Всего сложили оружие более 150 военных.   Уничтожено 11 военных аэродромов, 13 пунктов управления, 14 зенитных ракетных комплексов ПВО, 36 радиолокационных станций, 11 летательных аппаратов, 18 бронированных машин, семь систем залпового огня.",REVIEW_TEXT_RUSSIA_UA_ACTOR,UA_ACTOR_TEXT+RU_SCOPE_TEXT,FALSE,RUSSIA_PROPER,RUSSIAN_PLACE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,EXACT2022-0081,P1_RUSSIA_UA_ACTOR,TRUE
145301,20220226,103,147617|147625,mz,https://t.me/uniannet/32695,FUEL_STORAGE_TERMINAL|STRATEGIC_AIRBASE,авиабаз|аэродром|нефтебаз,взрыв|ракет|удар,703448,Kyiv,Kiev City,Shevchenkivs'kyi,30.52355,50.450441,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,ВСУ|Украин,орел|твер,"В городе Василькове в 25 километрах к юго-западу от окраины Киева после ракетного удара загорелась нефтебаза, пишет «Сегодня» со ссылкой на мэра города Наталью Баласинович. «Уважаемая Васильковская община! Вы видите все происходящее. Видите огонь. Это, к сожалению, горит нефтебаза на Крячках. Сегодня весь день шли мощные обстрелы баллистическими ракетами, в том числе — нашего аэродрома. И сейчас идут обстрелы. Ночь будет непростой, что у нас, что в Киеве. <﻿…﻿> Если вы слышите сильные взрывы — идите в укрытия», — приводит ее слова Znak. Вчера УНИАН сообщал о боях в Василькове после попытки высадить десант с воздуха. «Украинская правда» со ссылкой на неназванного собеседника в командовании ВСУ писала, что бой шел за авиабазу «Васильков», на которой базируются шесть самолетов МиГ-29. || На онлайн-камере, установленной на Майдане в центре Киева, всю ночь с небольшими перерывами слышна стрельба очередями и взрывы. Чаще всего выстрелы звучат в отдалении, но иногда очереди раздаются в непосредственной близости от места съемки. Украинские СМИ о местах боев в городе за ночь не сообщали. Глава Киевской областной администрации Алексей Кулеба написал, что бой продолжается в городе Васильков. Накануне в городе, как утверждают вооруженные силы Украины, пытался высадиться российский десант и захватить военный аэропорт. В Василькове горит нефтебаза.",REVIEW_TEXT_RUSSIA_UA_ACTOR,UA_ACTOR_TEXT+RU_SCOPE_TEXT,FALSE,RUSSIA_PROPER,RUSSIAN_PLACE_TEXT,FOLLOWUP_OR_AFTERMATH,FOLLOWUP_CUE_NO_FRESH_VERB,,P1_RUSSIA_UA_ACTOR,TRUE
