SourceEventID,VIINADate,ManualDecision,ResolvedYear,CanonicalEventDate,CountryScope,TargetOrEvent,AttributionStatus,DecisionReason,CandidateCensusComplete
252229,20220224,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-02-24,UKRAINE_OTHER,Chuhuiv/Kharkiv attacks,RUSSIAN_ATTACK_REPORTED,Text describes Russian attacks on Ukrainian military/civilian targets; proximity to RU geocode caused review,FALSE
252232,20220224,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-02-24,UKRAINE_OTHER,Chuhuiv/Kharkiv attacks,RUSSIAN_ATTACK_REPORTED,Same Ukraine event family; no Russia-proper target,FALSE
265513,20220224,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-02-24,UKRAINE_OTHER,Western/Central Ukraine military targets,RUSSIAN_ATTACK_REPORTED,Targets listed in Ivano-Frankivsk/Lutsk/Lviv/Cherkasy/Zhytomyr/Vinnytsia,FALSE
265519,20220224,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-02-24,UKRAINE_OTHER,Western/Central Ukraine military targets,RUSSIAN_ATTACK_REPORTED,Same report family; no Russia-proper target,FALSE
298788,20220227,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-02-27,UKRAINE_OTHER,Okhtyrka oil depot,RUSSIAN_ATTACK_REPORTED,Physical target explicitly in Sumy Oblast Ukraine,FALSE
255171,20220302,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-03-02,UKRAINE_OTHER,Chernihiv,RUSSIAN_ATTACK_REPORTED,Text explicitly describes Russian bombing of Chernihiv,FALSE
289406,20220302,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-03-02,UKRAINE_OCCUPIED_OTHER,Bakhmut ammunition depot,UKRAINIAN_ATTACK_REPORTED,Target is in Donetsk Oblast Ukraine,FALSE
60644,20220302,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-03-02,UKRAINE_OTHER,Ivano-Frankivsk airfield,RUSSIAN_ATTACK_REPORTED,SBU report concerns spotter for Russian Kalibr strike on Ukrainian airfield,FALSE
289456,20220309,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-03-09,UKRAINE_OCCUPIED_OTHER,Bakhmut ammunition depots,UKRAINIAN_ATTACK_REPORTED,Target area is Bakhmut/Donetsk Oblast,FALSE
326845,20220311,EXCLUDE_WRONG_YEAR,2025,2025-03-11,RUSSIA_PROPER,Druzhba pipeline / Stalnoy Kon station,UKRAINIAN_ATTACK_REPORTED,Original NV page is dated 11 March 2025; VIINA year assignment is wrong,FALSE
195169,20220318,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-03-18,UKRAINE_OCCUPIED_OTHER,Kherson airbase,UKRAINIAN_ATTACK_REPORTED,Target explicitly Kherson airbase,FALSE
326848,20220319,EXCLUDE_WRONG_YEAR,2025,,RUSSIA_PROPER,Druzhba pipeline infrastructure,UKRAINIAN_ATTACK_REPORTED,Source content belongs to 2025 strike/damage reporting on Druzhba infrastructure rather than 2022,FALSE
30720,20220321,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-03-21,UKRAINE_OTHER,Kramatorsk airfield area,RUSSIAN_ATTACK_REPORTED,Text describes airstrike on Ukrainian headquarters area,FALSE
