event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text_terms,ru_scope_text_terms,representative_text,TriageStatus,TriageReason,CandidateCensusComplete,ScopeAuto,ScopeReason,EventFormAuto,EventFormReason,ExactReportDuplicateCluster,TriagePriority,ManualReviewRequired,DedupeClusterID,DedupeDecision,CanonicalEventID1pd,DedupeBasis,EventLevelDedupeStatus,ScopeAutoV2,ScopeReasonV2,EventFormAutoV2,EventFormReasonV2,TriagePriorityV2,R5PriorityV3,R5PriorityReasonV3,RussiaTargetTextHitsV3,UkraineActorEvidenceV3,RussiaActorEvidenceV3,UkraineAdm1EvidenceV3,CrimeaAdm1EvidenceV3,RussiaReviewMethodEvidenceV3
252229,20220224,8,147109|147299|370393,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,атак|взрыв|ракет|удар,710374,Chuhuiv,Kharkiv,Chuhu‹vs'kyi,36.679453,49.835274,REVIEW,REVIEW_COORDINATE_NEAR_RU,6.307,479565,Uda,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Силы оборон|Украин,,"Судя по сообщениям из зоны боевых действий, Харьков оказался одним из наиболее пострадавших крупных городов Украины. Вот рассказы нескольких харьковчан, которые застали в городе начало войны.  Валерия  «Мы проснулись в 5:10 от того что за окном громыхали взрывы, и это продолжалось достаточно долго. Сработали сигнализации машин, проснулся район. Все стали куда-то бежать. У нас так расположен дом, что самих взрывов не видно. Но у людей жуткая паника. Соседи и знакомые ломанулись из города. Много аварий, километровые очереди на заправках. Магазины тоже самое. Мы собрали самые необходимые вещи так и сидим. Со стороны окружной дороги, до сих пор громыхает. Все, кто уехал, стоят в диких пробках и присылают сообщения с месторасположением бомбоубежищ».  Максим  «Начало? Будоражащим. Ровно в 5:00. Взрывы по разным направлениям в Харькове, из окна были видны зарева работы оружия. Позже стали узнавать из источников, что были атакованы преимущественно военные объекты. Сейчас слышны взрывы до сих пор. Думаю, что в других приграничных областях Украины тоже самое».  Инна  «С утра, около 5 часов, проснулась от звуков взрыва. Сначала думала, сквозь сон показалось. Но через минут пять повторилось еще три раза. Зашла в интернет, потому что думала схожу с ума. В харьковских группах отписывались, что слышны взрывы. Нашли снаряды в двух районах Харькова. В Чугуеве (муж оттуда) бомбили аэродром, попали в жилой дом. С утра много машин у подъезда разъехались с людьми, некоторые паникуют, некоторые ждут, что будет дальше. Мы на сумках, с документами. Но куда бежать?» || В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком.   Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область).  «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе. || В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком. Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область). «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_COORDINATE_NEAR_RU,FALSE,UKRAINE_OCCUPIED_OTHER,OCCUPIED_UA_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P5_OCCUPIED_UA_OTHER,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,252229,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
252232,20220224,1,370251,mz,,STRATEGIC_AIRBASE,аэродром,атак|взрыв,710374,Chuhuiv,Kharkiv,Chuhu‹vs'kyi,36.679453,49.835274,REVIEW,REVIEW_COORDINATE_NEAR_RU,6.307,479565,Uda,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"Судя по сообщениям из зоны боевых действий, Харьков оказался одним из наиболее пострадавших крупных городов Украины. Вот рассказы нескольких харьковчан, которые застали в городе начало войны. Валерия «Мы проснулись в 5:10 от того что за окном громыхали взрывы, и это продолжалось достаточно долго. Сработали сигнализации машин, проснулся район. Все стали куда-то бежать. У нас так расположен дом, что самих взрывов не видно. Но у людей жуткая паника. Соседи и знакомые ломанулись из города. Много аварий, километровые очереди на заправках. Магазины тоже самое. Мы собрали самые необходимые вещи так и сидим. Со стороны окружной дороги, до сих пор громыхает. Все, кто уехал, стоят в диких пробках и присылают сообщения с месторасположением бомбоубежищ». Максим «Начало? Будоражащим. Ровно в 5:00. Взрывы по разным направлениям в Харькове, из окна были видны зарева работы оружия. Позже стали узнавать из источников, что были атакованы преимущественно военные объекты. Сейчас слышны взрывы до сих пор. Думаю, что в других приграничных областях Украины тоже самое». Инна «С утра, около 5 часов, проснулась от звуков взрыва. Сначала думала, сквозь сон показалось. Но через минут пять повторилось еще три раза. Зашла в интернет, потому что думала схожу с ума. В харьковских группах отписывались, что слышны взрывы. Нашли снаряды в двух районах Харькова. В Чугуеве (муж оттуда) бомбили аэродром, попали в жилой дом. С утра много машин у подъезда разъехались с людьми, некоторые паникуют, некоторые ждут, что будет дальше. Мы на сумках, с документами. Но куда бежать?»",REVIEW_LOCATION_AMBIGUOUS,REVIEW_COORDINATE_NEAR_RU,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,252232,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
265513,20220224,6,147331,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,атак,710791,Cherkasy,Cherkasy,Cherkas'ka,32.059768,49.444433,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Cherkasy,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_NAME_ONLY_RU_SUPPORT,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,265513,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
265519,20220224,1,370425,mz,,STRATEGIC_AIRBASE,аэродром,атак,710791,Cherkasy,Cherkasy,Cherkas'ka,32.059768,49.444433,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Cherkasy,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,Украин,,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_NAME_ONLY_RU_SUPPORT,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,265519,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,TRUE,TRUE,FALSE,TRUE
298788,20220227,4,147659,mz,https://t.me/uniannet/33158,FUEL_STORAGE_TERMINAL,нефтебаз,пожар,805500,Voronyne,Sumy,Bilopils'kyi,34.123755,51.106236,REVIEW,REVIEW_COORDINATE_NEAR_RU,19.395,806795,Stantsiya Tetkino,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"В городе Ахтырке Сумской области снаряд попал в нефтебазу, начался пожар, сообщает «Украина 24».",REVIEW_LOCATION_AMBIGUOUS,REVIEW_COORDINATE_NEAR_RU,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,298788,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
255171,20220302,1,147885,mz,https://www.osce.org/chairmanship/513280,FUEL_STORAGE_TERMINAL,нефтебаз,удар|уничтож,710735,Chernihiv,Chernihiv,Chernihivs'ka,31.298652,51.491007,REVIEW,REVIEW_COORDINATE_NEAR_RU,16.908,491522,Snov,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,Украин,орел,"В Чернигове, по которому наносит удары авиация, из-под завалов вытащили тела 33 погибших людей и 18 раненых, сообщает ГСЧС Украины. Сейчас из-за продолжающих обстрелов спасательные работы временно приостановлены, уточняет ведомство. Мэр города Владислав Атрошенко сообщил, что российские бомбардировщики бомбили жилые дома, также снарядами были разрушены две школы. «За что воюют здесь россияне? Я не знаю, какой русский мир здесь спасают или от каких бандеровцев. <﻿…﻿> Россия воюя с мирным населением Украины, бомбя города, бомбя школы, жилые дома, она уничтожает будущее своих детей и будущее своих внуков. Она превращается в международного изгоя», — сказал Атрошенко. Во время утреннего обстрела города снаряд попал в нефтебазу, в результате резервуар загорелся.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_COORDINATE_NEAR_RU,FALSE,RUSSIA_PROPER,RUSSIAN_PLACE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P2_RUSSIA_FROM_AMBIGUOUS,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,255171,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
289406,20220302,4,165756,nv,https://nv.ua/ukr/ukraine/events/viyna-rosiji-proti-ukrajini-rosiyski-viyska-shturmuyut-bahmut-zvedennya-genshtabu-50308019.html,AMMUNITION_ARSENAL,складу боєприпас,атак,713174,Bakhmut,Donets'k,Artemivs'ka,38.001988,48.589471,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Bakhmut,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,ЗСУ,,ЗСУ відбили атаки окупантів на Бахмут і вдарили по складу боєприпасів — Генштаб,REVIEW_LOCATION_AMBIGUOUS,REVIEW_NAME_ONLY_RU_SUPPORT,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,FRESH_ATTACK_WORDING,FRESH_ATTACK_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,289406,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,FRESH_ATTACK_WORDING,FRESH_ATTACK_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
60644,20220302,1,1655460,pravdaua,https://www.pravda.com.ua/news/2022/03/2/7327421/,STRATEGIC_AIRBASE,аеродром,удар,694141,Shevchenkovo,Ivano-Frankivs'k,Halyts'kyi,24.700661,49.131719,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Shevchenkovo,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,СБУ,,"СБУ спіймала зрадника, який навів удар на аеродром Франківська. Служба безпеки затримала коректувальника вогню, який навів удар російського """"Калібру"""" на Івано-Франківський аеродром.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_NAME_ONLY_RU_SUPPORT,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,60644,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
289456,20220309,6,166847,nv,https://nv.ua/ukr/ukraine/events/viyna-rosiji-proti-ukrajini-zsu-vidbili-shturmi-bahmuta-rosiyskimi-viyskami-zvedennya-50309602.html,AMMUNITION_ARSENAL,складах із боєприпас,атак,713174,Bakhmut,Donets'k,Artemivs'ka,38.001988,48.589471,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Bakhmut,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Україн,,Захисники України відбили атаки окупантів на Бахмут і вдарили по російських складах із боєприпасами — Генштаб,REVIEW_LOCATION_AMBIGUOUS,REVIEW_NAME_ONLY_RU_SUPPORT,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,FRESH_ATTACK_WORDING,FRESH_ATTACK_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,289456,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,FRESH_ATTACK_WORDING,FRESH_ATTACK_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
326845,20220311,1,2284932,nv,https://nv.ua/ukr/world/countries/ataka-bpla-na-naftoprovid-druzhba-v-ugorshchini-poskarzhilis-na-zupinku-postachannya-nafti-50496966.html,PIPELINE_PUMPING,нафтопров,удар,9114074,Druzhba,Donets'k,Kostiantynivs'kyi,37.91028,48.41,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Druzhba,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,,,"Сійярто заявив, що постачання нафти до Угорщини припинилося після удару БПЛА по нафтопроводу Дружба",REVIEW_LOCATION_AMBIGUOUS,REVIEW_NAME_ONLY_RU_SUPPORT,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,FOLLOWUP_OR_AFTERMATH,FOLLOWUP_CUE_NO_FRESH_VERB,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,326845,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,FOLLOWUP_OR_AFTERMATH,FOLLOWUP_CUE_NO_FRESH_VERB,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
