event_id_1pd,date,R5PriorityV3,sources_matching,source_urls,asciiname,ADM1_NAME,ADM2_NAME,location_method,nearest_ru_distance_km,nearest_ru_name,a_ukr,a_rus_init,a_rus,ua_actor_text_terms,target_classes,target_terms,attack_terms,text_excerpt
252229,20220224,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,mz,https://zona.media/online/2022/02/24/war,Chuhuiv,Kharkiv,Chuhu‹vs'kyi,REVIEW_COORDINATE_NEAR_RU,6.307,Uda,0,,0,Силы оборон|Украин,STRATEGIC_AIRBASE,аэродром,атак|взрыв|ракет|удар,"Судя по сообщениям из зоны боевых действий, Харьков оказался одним из наиболее пострадавших крупных городов Украины. Вот рассказы нескольких харьковчан, которые застали в городе начало войны. Валерия «Мы проснулись в 5:10 от того что за окном громыхали взрывы, и это продолжалось достаточно долго. Сработали сигнализации машин, проснулся район. Все стали куда-то бежать. У нас так расположен дом, что самих взрывов не видно. Но у людей жуткая паника. Соседи и знакомые ломанулись из города. Много аварий, километровые очереди на заправках. Магазины тоже самое. Мы собрали самые необходимые вещи так и сидим. Со стороны окружной дороги, до сих пор ..."
252232,20220224,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,mz,,Chuhuiv,Kharkiv,Chuhu‹vs'kyi,REVIEW_COORDINATE_NEAR_RU,6.307,Uda,0,,0,Украин,STRATEGIC_AIRBASE,аэродром,атак|взрыв,"Судя по сообщениям из зоны боевых действий, Харьков оказался одним из наиболее пострадавших крупных городов Украины. Вот рассказы нескольких харьковчан, которые застали в городе начало войны. Валерия «Мы проснулись в 5:10 от того что за окном громыхали взрывы, и это продолжалось достаточно долго. Сработали сигнализации машин, проснулся район. Все стали куда-то бежать. У нас так расположен дом, что самих взрывов не видно. Но у людей жуткая паника. Соседи и знакомые ломанулись из города. Много аварий, километровые очереди на заправках. Магазины тоже самое. Мы собрали самые необходимые вещи так и сидим. Со стороны окружной дороги, до сих пор ..."
265513,20220224,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,mz,https://zona.media/online/2022/02/24/war,Cherkasy,Cherkasy,Cherkas'ka,REVIEW_NAME_ONLY_RU_SUPPORT,,Cherkasy,0,,0,Украин,STRATEGIC_AIRBASE,аэродром,атак,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей."
265519,20220224,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,mz,,Cherkasy,Cherkasy,Cherkas'ka,REVIEW_NAME_ONLY_RU_SUPPORT,,Cherkasy,0,,1,Украин,STRATEGIC_AIRBASE,аэродром,атак,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей."
298788,20220227,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,mz,https://t.me/uniannet/33158,Voronyne,Sumy,Bilopils'kyi,REVIEW_COORDINATE_NEAR_RU,19.395,Stantsiya Tetkino,0,,0,Украин,FUEL_STORAGE_TERMINAL,нефтебаз,пожар,"В городе Ахтырке Сумской области снаряд попал в нефтебазу, начался пожар, сообщает «Украина 24»."
255171,20220302,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,mz,https://www.osce.org/chairmanship/513280,Chernihiv,Chernihiv,Chernihivs'ka,REVIEW_COORDINATE_NEAR_RU,16.908,Snov,1,,0,Украин,FUEL_STORAGE_TERMINAL,нефтебаз,удар|уничтож,"В Чернигове, по которому наносит удары авиация, из-под завалов вытащили тела 33 погибших людей и 18 раненых, сообщает ГСЧС Украины. Сейчас из-за продолжающих обстрелов спасательные работы временно приостановлены, уточняет ведомство. Мэр города Владислав Атрошенко сообщил, что российские бомбардировщики бомбили жилые дома, также снарядами были разрушены две школы. «За что воюют здесь россияне? Я не знаю, какой русский мир здесь спасают или от каких бандеровцев. <﻿…﻿> Россия воюя с мирным населением Украины, бомбя города, бомбя школы, жилые дома, она уничтожает будущее своих детей и будущее своих внуков. Она превращается в международного изг..."
289406,20220302,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,nv,https://nv.ua/ukr/ukraine/events/viyna-rosiji-proti-ukrajini-rosiyski-viyska-shturmuyut-bahmut-zvedennya-genshtabu-50308019.html,Bakhmut,Donets'k,Artemivs'ka,REVIEW_NAME_ONLY_RU_SUPPORT,,Bakhmut,0,,0,ЗСУ,AMMUNITION_ARSENAL,складу боєприпас,атак,ЗСУ відбили атаки окупантів на Бахмут і вдарили по складу боєприпасів — Генштаб
60644,20220302,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,pravdaua,https://www.pravda.com.ua/news/2022/03/2/7327421/,Shevchenkovo,Ivano-Frankivs'k,Halyts'kyi,REVIEW_NAME_ONLY_RU_SUPPORT,,Shevchenkovo,1,,0,СБУ,STRATEGIC_AIRBASE,аеродром,удар,"СБУ спіймала зрадника, який навів удар на аеродром Франківська. Служба безпеки затримала коректувальника вогню, який навів удар російського """"Калібру"""" на Івано-Франківський аеродром."
289456,20220309,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,nv,https://nv.ua/ukr/ukraine/events/viyna-rosiji-proti-ukrajini-zsu-vidbili-shturmi-bahmuta-rosiyskimi-viyskami-zvedennya-50309602.html,Bakhmut,Donets'k,Artemivs'ka,REVIEW_NAME_ONLY_RU_SUPPORT,,Bakhmut,0,,0,Україн,AMMUNITION_ARSENAL,складах із боєприпас,атак,Захисники України відбили атаки окупантів на Бахмут і вдарили по російських складах із боєприпасами — Генштаб
326845,20220311,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,nv,https://nv.ua/ukr/world/countries/ataka-bpla-na-naftoprovid-druzhba-v-ugorshchini-poskarzhilis-na-zupinku-postachannya-nafti-50496966.html,Druzhba,Donets'k,Kostiantynivs'kyi,REVIEW_NAME_ONLY_RU_SUPPORT,,Druzhba,1,0,0,,PIPELINE_PUMPING,нафтопров,удар,"Сійярто заявив, що постачання нафти до Угорщини припинилося після удару БПЛА по нафтопроводу Дружба"
