event_id_1pd,date,R5PriorityV3,sources_matching,source_urls,asciiname,ADM1_NAME,ADM2_NAME,location_method,nearest_ru_distance_km,nearest_ru_name,a_ukr,a_rus_init,a_rus,ua_actor_text_terms,target_classes,target_terms,attack_terms,text_excerpt
62028,20220226,M2_REMAINS_UNRESOLVED,24tvua,https://24tv.ua/vibuhi-okupovanomu-krimu-aktivnist-ppo-sevastopoli-belbeku-25022025_n2762104,Sevastopol,Sevastopol',Lenins'kyi,REVIEW_DISPUTED_CRIMEA,,,0,0,0,,STRATEGIC_AIRBASE,аеродром,вибух,"У мережі пишуть про вибухи у Саках, Севастополі та у районі аеродрому Бельбек"
51563,20220322,M2_REMAINS_UNRESOLVED,nv,https://nv.ua/ukr/ukraine/events/zvidki-ukrajinski-droni-kamikadze-dosyagnut-do-sevastopolya-viyskoviy-ekspert-50312462.html,Skadovsk,,,REVIEW_DISPUTED_CRIMEA,,,0,,0,,PORT_EXPORT_LOGISTICS,Порт,дрон,"Коли звільнимо Скадовськ і Залізний Порт. Фахівець про те, де можна використати морські дрони-камікадзе"
62151,20220430,M2_REMAINS_UNRESOLVED,nv,https://nv.ua/ukr/world/countries/sevastopol-novini-pislya-vibuhu-na-naftobazi-viyskovi-rf-pochali-pisati-raporti-na-vidpustki-50321132.html,Sevastopol,Sevastopol',Lenins'kyi,REVIEW_DISPUTED_CRIMEA,,,0,,1,,FUEL_STORAGE_TERMINAL,нафтобаз,вибух,«Гарячий курортний сезон». Після вибухів на нафтобазі в Севастополі російські військові почали писати рапорти на відпустку — Генштаб
62153,20220502,M2_REMAINS_UNRESOLVED,nv,https://nv.ua/ukr/ukraine/events/sevastopol-naftobaza-suputnikovi-foto-naslidkiv-pozhezhi-shemi-novini-ukrajini-50321737.html,Sevastopol,Sevastopol',Lenins'kyi,REVIEW_DISPUTED_CRIMEA,,,0,,0,,FUEL_STORAGE_TERMINAL,нафтобаз,вибух,Наслідки вибуху на нафтобазі в Севастополі показали на супутникових знімках
62154,20220502,M2_REMAINS_UNRESOLVED,nv,https://nv.ua/ukr/ukraine/events/vibuhi-v-krimu-v-ok-pivden-prokomentuvali-pozhezhu-na-naftobazi-u-sevastopoli-novini-ukrajini-50321534.html,Sevastopol,Sevastopol',Lenins'kyi,REVIEW_DISPUTED_CRIMEA,,,0,,0,,FUEL_STORAGE_TERMINAL,нафтобаз,пожеж,"В ОК Південь оцінили, наскільки значною проблемою для РФ є пожежа на нафтобазі в окупованому Севастополі"
62157,20220505,M2_REMAINS_UNRESOLVED,nv,https://nv.ua/ukr/world/geopolitics/pozhezhi-na-naftobazi-pid-tamannyu-ta-v-sevastopoli-opublikovani-suputnikovi-znimki-50322427.html,Sevastopol,Sevastopol',Lenins'kyi,REVIEW_DISPUTED_CRIMEA,,,0,,0,,FUEL_STORAGE_TERMINAL,нафтобаз,пожеж,З’явилися супутникові знімки наслідків масштабних пожеж на нафтобазі біля Тамані та в Севастополі
51609,20220622,M2_REMAINS_UNRESOLVED,nv,https://nv.ua/ukr/ukraine/events/u-skadovsku-chutno-vibuhi-pershi-podrobici-50251715.html,Skadovsk,,,REVIEW_DISPUTED_CRIMEA,,,0,,0,,PORT_EXPORT_LOGISTICS,порт,вибух,"У Скадовську прогриміли вибухи, є влучення в морський порт"
51638,20220721,M2_REMAINS_UNRESOLVED,liveuamap,https://twitter.com/Illya_Ayzin/status/1549842669614014467,Skadovsk,,,REVIEW_DISPUTED_CRIMEA,,,0,,0,,AMMUNITION_ARSENAL,складах боєприпас,Вибух,Вибухи на складах боєприпасів у Скадовську
51659,20220802,M2_REMAINS_UNRESOLVED,24tvua,https://24tv.ua/zsu-znishhili-sklad-rosiyan-skadovsku-31-lipnya-mer-rozpoviv_n2116135,Skadovsk,,,REVIEW_DISPUTED_CRIMEA,,,0,,0,,AMMUNITION_ARSENAL,складу з боєприпас,Удар|знищ,"""""""""""""""""Удар було чутно за 10 кілометрів"""""""""""""""": нові деталі про знищення складу з боєприпасами у Скадовську"
230771,20220809,M1_UA_ACTOR_UA_GEO,interfaxua,https://interfax.com.ua/news/general/851430.html,Henichesk,Kherson,Heniches'kyi,REVIEW_DISPUTED_CRIMEA,,,0,,0,ЗСУ,AMMUNITION_ARSENAL,склад боєприпас,знищ,ЗСУ знищили російський склад боєприпасів в окупованому Генічеському районі - депутат облради
230773,20220809,M1_UA_ACTOR_UA_GEO,unian,https://www.unian.ua/war/zsu-znishchili-sklad-boyepripasiv-v-okupovanomu-genichesku-naydalshiy-na-hersonshchini-novini-vtorgnennya-rosiji-v-ukrajinu-11935131.html,Henichesk,Kherson,Heniches'kyi,REVIEW_DISPUTED_CRIMEA,,,1,,0,ЗСУ,AMMUNITION_ARSENAL,склад боєприпас,знищ,ЗСУ знищили склад боєприпасів в окупованому Генічеську – найвіддаленіший на Херсонщині
62361,20220818,M2_REMAINS_UNRESOLVED,pravdaua,https://www.pravda.com.ua/news/2022/08/18/7363914/,Sevastopol,Sevastopol',Lenins'kyi,REVIEW_DISPUTED_CRIMEA,,,0,,1,,STRATEGIC_AIRBASE,аеродром,вибух,"На військовому аеродромі в Севастополі чують вибухи, влада окупантів каже про ППО. Російські і місцеві телеграм-канали повідомляють про вибухи на військовому аеродромі окупантів у Севастополі, проте влада загарбників запевняє, що у регіоні працює протиповітряна оборона."
62461,20220913,M2_REMAINS_UNRESOLVED,militarnyy,https://mil.in.ua/uk/news/rosiya-vtratyla-dva-korablya-v-sevastopoli/,Sevastopol,Sevastopol',Lenins'kyi,REVIEW_DISPUTED_CRIMEA,,,0,,0,,MILITARY_REPAIR_SHIPYARD,суднобуд,Ракет|удар,Росія втратила два корабля в Севастополі. Ракетним ударом в Севастополі було уражено суднобудівний завод та два військові корабля. Про це повідомляє російське міністерство оборони. За...
62476,20220914,M2_REMAINS_UNRESOLVED,militarnyy,https://mil.in.ua/uk/news/z-yavylosya-video-poshkodzhen-velykogo-desantnogo-korablya-mynsk/,Sevastopol,Sevastopol',Lenins'kyi,REVIEW_DISPUTED_CRIMEA,,,0,,0,,MILITARY_REPAIR_SHIPYARD,суднобуд|сухого док,пошкодж,"З’явилося відео пошкоджень великого десантного корабля “Минск”. З'явилися кадри з сухого доку суднобудівного заводу імені Орджонікідзе в Севастополі. Про це повідомляє """"Мілітарний"""" з посиланням на відео з соц..."
62526,20221001,M2_REMAINS_UNRESOLVED,pravdaua,https://www.pravda.com.ua/news/2022/10/1/7369976/,Sevastopol,Sevastopol',Lenins'kyi,REVIEW_DISPUTED_CRIMEA,,,0,,1,,STRATEGIC_AIRBASE,аеродром,пожеж,"У Севастополі пожежа на аеродромі """"Бельбек"""", окупанти заявили про загоряння літака."
348494,20221008,M2_REMAINS_UNRESOLVED,nv,https://nv.ua/ukr/ukraine/events/udar-po-naftobazi-u-feodosiji-zmi-povidomili-pro-ataku-raketami-atacms-50456823.html,,,,REVIEW_DISPUTED_CRIMEA,,,0,,1,,FUEL_STORAGE_TERMINAL,Нафтобаз,атак|ракет,Нафтобазу у Феодосії могли атакувати ракетами ATACMS — ЗМІ
348499,20221010,M2_REMAINS_UNRESOLVED,nv,https://nv.ua/ukr/ukraine/events/feodosiya-10-zhovtnya-vibuhnula-chergova-cisterna-zagasiti-pozhezhu-nemozhlivo-50457554.html,,,,REVIEW_DISPUTED_CRIMEA,,,0,,0,,FUEL_STORAGE_TERMINAL,нафтобаз,вибух|пожеж,«Загасити пожежу неможливо». На нафтобазі у Феодосії вибухнула чергова цистерна — відео
348502,20221012,M2_REMAINS_UNRESOLVED,nv,https://nv.ua/ukr/ukraine/events/pozhezha-na-naftobazi-u-feodosiji-osint-analitiki-pokazali-urazheni-cisterni-50458029.html,,,,REVIEW_DISPUTED_CRIMEA,,,0,,0,,FUEL_STORAGE_TERMINAL,нафтобаз,Знищ|пожеж,Знищено вісім резервуарів. OSINT-аналітики показали наслідки масштабної пожежі на нафтобазі в Феодосії
