event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text_terms,ru_scope_text_terms,representative_text,TriageStatus,TriageReason,CandidateCensusComplete
106315,20220224,2,1692990,unian,https://www.unian.ua/war/u-nizhini-raketnim-udarom-znishcheno-punkt-upravlinnya-aerodromom-novini-vtorgnennya-rosiji-v-ukrajinu-11715340.html,STRATEGIC_AIRBASE,аеродром,знищ|ракет|удар,699942,Nizhyn,Chernihiv,Nizhyns'ka,31.880033,51.046414,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,,,У Ніжині ракетним ударом знищено пункт управління аеродромом,MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
117405,20220224,3,164627,nv,https://nv.ua/ukr/allnews.html?page=16,STRATEGIC_AIRBASE,аеродром,удар,701404,Melitopol,Zaporizhzhya,Melitopol's'kyi,35.37288,46.842187,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,,,Очевидці зняли удар ЗС РФ по аеродрому у Мелітополі - відео,MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
133109,20220224,16,147330,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,атак,702550,Lviv,L'viv,L'vivs'ka,24.029898,49.839323,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
133117,20220224,1,370424,mz,,STRATEGIC_AIRBASE,аэродром,атак,702550,Lviv,L'viv,L'vivs'ka,24.029898,49.839323,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,Украин,,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
137010,20220224,6,147329,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,атак,702569,Lutsk,Volyn,Luts'ka,25.325412,50.74731,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
137015,20220224,1,370423,mz,,STRATEGIC_AIRBASE,аэродром,атак,702569,Lutsk,Volyn,Luts'ka,25.325412,50.74731,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,Украин,,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
1424,20220224,3,147332,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,атак,686967,Zhytomyr,Zhytomyr,Zhytomyrs'ka,28.658701,50.254606,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
1428,20220224,1,370426,mz,,STRATEGIC_AIRBASE,аэродром,атак,686967,Zhytomyr,Zhytomyr,Zhytomyrs'ka,28.658701,50.254606,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,Украин,,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
145130,20220224,2,31125,forbesua,https://forbes.ua/news/khronika-viyni-den-pershiy-bitva-za-ukrainu-tilki-perevirena-informatsiya-24022022-3895,STRATEGIC_AIRBASE,Аеродром,атак|вибух,703448,Kyiv,Kiev City,Shevchenkivs'kyi,30.52355,50.450441,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,,,"Аеродром ГП «Антонов» в смт Гостомель під Києвом атакують з повітря. Чути вибухи і звуки літаків, видно стовп диму. В районі аеродрому літає близько 10 вертольотів, чути потужні вибухи.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
19261,20220224,3,147106,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,атак|взрыв,688393,Yaseninichi,Rivne,Rivnens'ka,26.251638,50.61992,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"Судя по сообщениям из зоны боевых действий, Харьков оказался одним из наиболее пострадавших крупных городов Украины. Вот рассказы нескольких харьковчан, которые застали в городе начало войны.  Валерия  «Мы проснулись в 5:10 от того что за окном громыхали взрывы, и это продолжалось достаточно долго. Сработали сигнализации машин, проснулся район. Все стали куда-то бежать. У нас так расположен дом, что самих взрывов не видно. Но у людей жуткая паника. Соседи и знакомые ломанулись из города. Много аварий, километровые очереди на заправках. Магазины тоже самое. Мы собрали самые необходимые вещи так и сидим. Со стороны окружной дороги, до сих пор громыхает. Все, кто уехал, стоят в диких пробках и присылают сообщения с месторасположением бомбоубежищ».  Максим  «Начало? Будоражащим. Ровно в 5:00. Взрывы по разным направлениям в Харькове, из окна были видны зарева работы оружия. Позже стали узнавать из источников, что были атакованы преимущественно военные объекты. Сейчас слышны взрывы до сих пор. Думаю, что в других приграничных областях Украины тоже самое».  Инна  «С утра, около 5 часов, проснулась от звуков взрыва. Сначала думала, сквозь сон показалось. Но через минут пять повторилось еще три раза. Зашла в интернет, потому что думала схожу с ума. В харьковских группах отписывались, что слышны взрывы. Нашли снаряды в двух районах Харькова. В Чугуеве (муж оттуда) бомбили аэродром, попали в жилой дом. С утра много машин у подъезда разъехались с людьми, некоторые паникуют, некоторые ждут, что будет дальше. Мы на сумках, с документами. Но куда бежать?»",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
