event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text,ru_scope_text,representative_text,Stage1Triage,CandidateCensusComplete,ScopeAutoV1,ManualReviewRequired,UnknownPriorityV2,UnknownPriorityReasonV2,RussiaTargetTextHitsV2,UkraineActorEvidenceV2,RussiaActorEvidenceV2,UkraineAdm1EvidenceV2,CrimeaAdm1EvidenceV2,RussiaReviewMethodEvidenceV2,ResidualAuditFlags,RussiaTextHitsAudit,PossibleCompositeAudit,PossibleOtherYearAudit
55630,20230104,1,272451,ria,https://ria.ru/20230104/bespilotniki-1843011703.html,STRATEGIC_AIRBASE,аэродром,беспилот,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,Система ПВО сбила два беспилотника над морем у аэродрома в Крыму,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE
55631,20230104,1,1711593,unian,https://www.unian.ua/war/zmi-povidomlyayut-pro-vibuhi-bilya-aerodromu-belbek-u-krimu-12098796.html,STRATEGIC_AIRBASE,аеродром,вибух,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,ЗМІ повідомляють про вибухи біля аеродрому Бельбек у Криму,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE
200200,20230109,1,333758,espreso,https://espreso.tv/unochi-armiya-rf-atakuvala-pidpriemstvo-kritichnoi-infrastrukturi-v-khersoni-zruynovano-elektropidstantsiyu,ENERGY_GRID_SUPPORT,підстанц,атак,706448,Kherson,Kherson,Khersons'ka,32.614962,46.640319,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Kherson,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,"Уночі армія РФ атакувала підприємство критичної інфраструктури в Херсоні, зруйновано електропідстанцію",REVIEW,FALSE,UNKNOWN,TRUE,L2_RUS_ACTOR_UA_GEO,RUSSIAN_ACTOR_AND_UKRAINE_GEOCODE,,FALSE,TRUE,TRUE,FALSE,TRUE,,,FALSE,FALSE
55735,20230125,1,334279,espreso,https://espreso.tv/u-krimu-povidomili-pro-vibukhi-dim-vidnietsya-z-boku-viyskovogo-aerodromu-sotsmerezhi,STRATEGIC_AIRBASE,аеродром,вибух,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"У Криму повідомили про вибухи, дим видніється з боку військового аеродрому, — соцмережі",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE
200345,20230127,1,274104,ria,https://ria.ru/20230127/spetsoperatsiya-1847885691.html,AMMUNITION_ARSENAL,склад боеприпас,уничтож,706448,Kherson,Kherson,Khersons'ka,32.614962,46.640319,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Kherson,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,Российские военные уничтожили склад боеприпасов на Херсонском направлении,REVIEW,FALSE,UNKNOWN,TRUE,L2_RUS_ACTOR_UA_GEO,RUSSIAN_ACTOR_AND_UKRAINE_GEOCODE,,FALSE,TRUE,TRUE,FALSE,TRUE,,,FALSE,FALSE
200373,20230130,3,274243,ria,https://ria.ru/20230130/napravlenie-1848409111.html,AMMUNITION_ARSENAL,склад с боеприпас,уничтож,706448,Kherson,Kherson,Khersons'ka,32.614962,46.640319,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Kherson,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,На Херсонском направлении российские силы уничтожили склад с боеприпасами,REVIEW,FALSE,UNKNOWN,TRUE,L3_UA_GEO_NO_UA_ACTOR,UKRAINE_GEOCODE_WITHOUT_UA_ACTOR_EVIDENCE,,FALSE,FALSE,TRUE,FALSE,TRUE,,,FALSE,FALSE
55977,20230307,1,1713756,unian,https://www.unian.ua/war/vibuhi-v-sevastopoli-7-bereznya-u-merezhi-povidomili-pro-vibuhi-bilya-aeroportu-12170004.html,STRATEGIC_AIRBASE,аеродром,вибух,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"У мережі повідомили про вибухи біля аеродрому """"Бельбек"""" у Криму: що відомо",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE
56111,20230329,1,1677192,pravdaua,https://www.pravda.com.ua/news/2023/03/29/7395610/,STRATEGIC_AIRBASE,авіабаз,вибух,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"В кримському селищі із авіабазою пролунав вибух, видно дим. В анексованому Росією Криму пролунав вибув в селі Гвардійське Сімферопольського району.",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE
314897,20230403,1,1630421,meduza,https://twitter.com/24Kava2022/status/1643553382987100162,STRATEGIC_AIRBASE,аэродром,дрон,7039154,Novofedorovka,Crimea,Saks'kyi,33.577236,45.093663,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,TRUE,FALSE,"Стрельба (вероятно, огонь ведется по украинскому дрону) на улицах Новофедоровки рядом с военным аэродромом в Крыму.",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,TRUE,FALSE,TRUE,FALSE,,,FALSE,FALSE
293614,20230410,1,1646266,liga,https://news.liga.net/politics/video/v-rayone-bahmuta-artilleristy-28-brigady-unichtojili-sklad-injenernyh-boepripasov-video,AMMUNITION_ARSENAL,склад инженерных боеприпас,уничтож,713174,Bakhmut,Donets'k,Artemivs'ka,38.001988,48.589471,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Bakhmut,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,В районе Бахмута артиллеристы 28 бригады уничтожили склад инженерных боеприпасов — видео,REVIEW,FALSE,UNKNOWN,TRUE,L2_RUS_ACTOR_UA_GEO,RUSSIAN_ACTOR_AND_UKRAINE_GEOCODE,,FALSE,TRUE,TRUE,FALSE,TRUE,,,FALSE,FALSE
