event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text,ru_scope_text,representative_text,Stage1Triage,CandidateCensusComplete,ScopeAutoV1,ManualReviewRequired,UnknownPriorityV2,UnknownPriorityReasonV2,RussiaTargetTextHitsV2,UkraineActorEvidenceV2,RussiaActorEvidenceV2,UkraineAdm1EvidenceV2,CrimeaAdm1EvidenceV2,RussiaReviewMethodEvidenceV2,ResidualAuditFlags,RussiaTextHitsAudit,PossibleCompositeAudit,PossibleOtherYearAudit
62937,20230429,2,1678046|1678066,pravdaua,https://www.pravda.com.ua/news/2023/04/29/7399949/|https://www.pravda.com.ua/news/2023/04/29/7400001/,FUEL_STORAGE_TERMINAL,нафтобаз,безпілот|пожеж,694423,Sevastopol,Sevastopol',Lenins'kyi,33.5229142,44.6010512,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,"У Севастополі загасили пожежу на нафтобазі, окупанти кажуть про два безпілотники. || У Севастополі горить нафтобаза: окупанти кажуть – поцілив безпілотник.",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,TRUE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
62940,20230430,1,47869,interfaxua,https://interfax.com.ua/news/general/907139.html,FUEL_STORAGE_TERMINAL,нафтобаз,Удар,694423,Sevastopol,Sevastopol',Lenins'kyi,33.5229142,44.6010512,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,Удар по нафтобазі в Севастополі спровокував панічні настрої в місті та на півострові,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
62959,20230505,1,1678248,pravdaua,https://www.pravda.com.ua/news/2023/05/5/7400824/,FUEL_STORAGE_TERMINAL,нафтобаз,пожеж,694423,Sevastopol,Sevastopol',Lenins'kyi,33.5229142,44.6010512,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,ЗМІ показали наслідки пожежі на російській нафтобазі в Тамані та у Севастополі.,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,TRUE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
294229,20230516,3,1678604,pravdaua,https://www.pravda.com.ua/news/2023/05/16/7402505/,AMMUNITION_ARSENAL,склади боєприпас,знищ,713174,Bakhmut,Donets'k,Artemivs'ka,38.001988,48.589471,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Bakhmut,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"Біля Бахмута та Мар’їнки найгарячіше, знищено 2 склади боєприпасів РФ – Генштаб.",REVIEW,FALSE,UNKNOWN,TRUE,L3_UA_GEO_NO_UA_ACTOR,UKRAINE_GEOCODE_WITHOUT_UA_ACTOR_EVIDENCE,,FALSE,FALSE,TRUE,FALSE,TRUE,POSSIBLE_COMPOSITE,,TRUE,FALSE
201188,20230608,3,1679434,pravdaua,https://www.epravda.com.ua/news/2023/06/8/700962/,ENERGY_GRID_SUPPORT,підстанц,пошкодж,706448,Kherson,Kherson,Khersons'ka,32.614962,46.640319,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Kherson,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"У Херсоні енергетики почали відновлювальні роботи """"там, де це можливо"""" – Міненерго. У Херсоні та області підтоплено і пошкоджено 182 трансформаторні підстанції. У Херсоні фіксується поступове зменшення рівня води - енергетики вже почали відновлювальні роботи там, де це можливо.",REVIEW,FALSE,UNKNOWN,TRUE,L3_UA_GEO_NO_UA_ACTOR,UKRAINE_GEOCODE_WITHOUT_UA_ACTOR_EVIDENCE,,FALSE,FALSE,TRUE,FALSE,TRUE,POSSIBLE_COMPOSITE,,TRUE,FALSE
91930,20230720,1,1632741,meduza,https://twitter.com/bayraktar_1love/status/1682667526973542400,STRATEGIC_AIRBASE,авиабаз,Взрыв|атак|беспилот,698652,Oktyabr'skoye,Crimea,Krasnohvardiis'kyi,34.127563,45.287264,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,TRUE,FALSE,"Взрывы, а также вторичная детонация боеприпасов в районе авиабазы в Октябрьском в Крыму. Вероятно, цель была атакована украинским беспилотником.",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,TRUE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
56968,20230722,1,345051,espreso,https://espreso.tv/pislya-udariv-bezpilotnikiv-v-krimu-gorit-naftobaza-rukh-krimskim-mostom-perekrito,AMMUNITION_ARSENAL|FUEL_STORAGE_TERMINAL,нафтобаз|склад боєприпас,безпілот|удар,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,Після ударів українських безпілотників у Криму горить нафтобаза та детонує склад боєприпасів. Рух залізницею призупинено,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
56972,20230722,1,345089,interfaxua,https://interfax.com.ua/news/general/924433.html,FUEL_STORAGE_TERMINAL,нафтобаз,удар,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,ЗСУ завдали удару по нафтобазі та військових складах в окупованому Криму,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
56971,20230722,1,1680784,pravdaua,https://www.pravda.com.ua/news/2023/07/22/7412473/,AMMUNITION_ARSENAL|FUEL_STORAGE_TERMINAL,нафтобаз|складів боєприпас,знищ,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,У ЗСУ відзвітували про знищення нафтобази та складів боєприпасів у Криму.,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
56963,20230722,2,1680785|1719273,pravdaua|unian,https://www.pravda.com.ua/news/2023/07/22/7412459/|https://www.unian.ua/war/u-zsu-pidtverdili-zavdavannya-udariv-po-viyskovih-skladah-rf-v-krimu-ta-naftobazi-12337173.html,AMMUNITION_ARSENAL|FUEL_STORAGE_TERMINAL,нафтобаз|склад боєприпас,Удар|удар,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,"У Криму після удару БПЛА детонує склад боєприпасів, евакуюють людей. || Удари по військових складах РФ в Криму та нафтобазі завдали ЗСУ - Стратком",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
