SourceEventID,VIINADate,Priority,ManualDecision,CountryScope,TargetOrEvent,DecisionReason,CandidateCensusComplete
120320,20230111,H2,EXCLUDE_OUTSIDE_RUSSIA_PROPER,UKRAINE_OCCUPIED_OTHER,Pervomaisk Luhansk electrical substation,Target explicitly in Luhansk Oblast; Russia-support geocode is false positive,FALSE
35554,20230125,H2,EXCLUDE_OUTSIDE_RUSSIA_PROPER,UKRAINE_OCCUPIED_OTHER,Novovodiane ammunition depot,VIINA geocode and context place target in Luhansk Oblast,FALSE
200424,20230207,H2,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,UKRAINE_OCCUPIED_OTHER,Kherson-direction Ukrainian ammunition depot,Russian forces reported attacking Ukrainian target; no Russia-proper target,FALSE
292845,20230302,H2,EXCLUDE_OUTSIDE_RUSSIA_PROPER,UKRAINE_OCCUPIED_OTHER,Bakhmut-direction ammunition depot,Operational target in Donetsk Oblast,FALSE
292895,20230304,H2,EXCLUDE_OUTSIDE_RUSSIA_PROPER,UKRAINE_OCCUPIED_OTHER,Bakhmut-direction air-defence and ammunition targets,Operational target in Donetsk Oblast,FALSE
293579,20230408,H2,EXCLUDE_OUTSIDE_RUSSIA_PROPER,UKRAINE_OCCUPIED_OTHER,Bakhmut-area Russian ammunition depot,Physical target explicitly near Bakhmut,FALSE
301886,20230503,H2,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,UKRAINE_OTHER,Sumy Oblast Ukrainian ammunition depot,Russian forces reported destroying Ukrainian depot; near-Russia coordinate caused review,FALSE
294743,20230616,H2,EXCLUDE_OUTSIDE_RUSSIA_PROPER,UKRAINE_OCCUPIED_OTHER,Bakhmut-direction ammunition depot,Target on Bakhmut front,FALSE
81644,20230622,H2,EXCLUDE_NOT_RUSSIA_PROPER_EVENT,UKRAINE_OTHER,Planned Russian strikes on Ukrainian substations,SBU arrest/preparation report rather than Ukrainian physical strike in Russia,FALSE
221933,20230623,H2,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,UKRAINE_OTHER,Khmelnytskyi military airfield,Russian missile attack on Ukrainian airfield,FALSE
