event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text,ru_scope_text,representative_text,Stage1Triage,CandidateCensusComplete,ScopeAutoV1,ManualReviewRequired,UnknownPriorityV2,UnknownPriorityReasonV2,RussiaTargetTextHitsV2,UkraineActorEvidenceV2,RussiaActorEvidenceV2,UkraineAdm1EvidenceV2,CrimeaAdm1EvidenceV2,RussiaReviewMethodEvidenceV2
120320,20230111,1,1879187,meduza,https://t.me/millnr/10036,ENERGY_GRID_SUPPORT,подстанц,удар,701653,Mar'yevka,Luhans'k,Popasnians'kyi,38.563642,48.653821,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Mar'yevka,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,Украинский удар HIMARS по электроподстанции в Первомайске Луганской области.,REVIEW,FALSE,UNKNOWN,TRUE,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
35554,20230125,1,1629305,meduza,https://twitter.com/PaulJawin/status/1619286262929833984,AMMUNITION_ARSENAL,складу боеприпас,удар,690833,Udobnyy,Luhans'k,Kremins'kyi,38.010763,49.25181,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Udobnyy,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,Артиллерия ВСУ нанесла удар по российскому складу боеприпасов в Нововодяном.,REVIEW,FALSE,UNKNOWN,TRUE,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
200424,20230207,7,274839,ria,https://ria.ru/20230207/spetsoperatsiya-1850310353.html,AMMUNITION_ARSENAL,склад боеприпас,уничтож,706448,Kherson,Kherson,Khersons'ka,32.614962,46.640319,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Kherson,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,ВС России уничтожили украинский склад боеприпасов на Херсонском направлении,REVIEW,FALSE,UNKNOWN,TRUE,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
292845,20230302,1,1676294,pravdaua,https://www.pravda.com.ua/news/2023/03/2/7391754/,AMMUNITION_ARSENAL,склад із боєприпас,атак,713174,Bakhmut,Donets'k,Artemivs'ka,38.001988,48.589471,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Bakhmut,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,ЗСУ відбили атаки ворога на Бахмут та уразили склад із боєприпасами – Генштаб.,REVIEW,FALSE,UNKNOWN,TRUE,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
292895,20230304,1,335265,espreso,https://espreso.tv/zsu-vidbili-chislenni-ataki-pid-bakhmutom-zavdali-dva-udari-po-zrk-protivnika-ta-po-skladu-boepripasiv-genshtab,AMMUNITION_ARSENAL,складу боєприпас,атак|удар,713174,Bakhmut,Donets'k,Artemivs'ka,38.001988,48.589471,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Bakhmut,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,"ЗСУ відбили численні атаки під Бахмутом, завдали два удари по ЗРК противника та по складу боєприпасів",REVIEW,FALSE,UNKNOWN,TRUE,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
293579,20230408,2,1646234|1715076,liga|unian,https://news.liga.net/politics/video/pod-bahmutom-artilleristy-45-brigady-vsu-unichtojili-bmp-i-sklad-boepripasov-rf-video|https://www.unian.ua/war/boycy-45-y-artilleristskoy-brigady-pod-bahmutom-unichtozhili-bmp-i-sklad-boepripasov-video-12210411.html,AMMUNITION_ARSENAL,склад боеприпас|склад боєприпас,знищ|уничтож,713174,Bakhmut,Donets'k,Artemivs'ka,38.001988,48.589471,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Bakhmut,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,Под Бахмутом артиллеристы 45 бригады ВСУ уничтожили БМП и склад боеприпасов РФ — видео || Бійці 45-ї артилеристської бригади під Бахмутом знищили БМП і склад боєприпасів (відео),REVIEW,FALSE,UNKNOWN,TRUE,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
301886,20230503,5,280872,ria,https://ria.ru/20230503/sklad-1869419716.html,AMMUNITION_ARSENAL,склад с боеприпас,уничтож,805500,Voronyne,Sumy,Bilopils'kyi,34.123755,51.106236,REVIEW,REVIEW_COORDINATE_NEAR_RU,19.395,806795,Stantsiya Tetkino,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,ВС России уничтожили украинский склад с боеприпасами в Сумской области,REVIEW,FALSE,UNKNOWN,TRUE,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
294743,20230616,1,338145,espreso,https://espreso.tv/na-bakhmutskomu-napryamku-zsu-za-dobu-znishchili-85-rosiyan-tri-garmati-ta-sklad-iz-boepripasami-rf-cherevatiy,AMMUNITION_ARSENAL,склад із боєприпас,знищ,713174,Bakhmut,Donets'k,Artemivs'ka,38.001988,48.589471,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Bakhmut,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,"На Бахмутському напрямку ЗСУ за добу знищили 85 росіян, три гармати та склад із боєприпасами РФ",REVIEW,FALSE,UNKNOWN,TRUE,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
81644,20230622,1,143776,liveuamap,https://twitter.com/ServiceSsu/status/1671413074962665473,ENERGY_GRID_SUPPORT,підстанц,удар,696643,Poltava,Poltava,Poltavs'ka,34.552,49.58715,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Poltava,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,"СБУ затримала агента ФСБ, який готував нові удари РФ по електропідстанціях в 5 областях України",REVIEW,FALSE,UNKNOWN,TRUE,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
221933,20230623,1,1647557,liga,https://news.liga.net/politics/news/vsu-rf-zapustila-po-voennomu-aerodromu-pod-hmelnitskim-13-raket-s-tu-95ms-vse-sbila-pvo,STRATEGIC_AIRBASE,аэродром,ракет,707153,Kalinovka,Khmel'nyts'kyy,Khmel'nyts'kyi,26.92966,49.507388,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Kalinovka,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,ВСУ: РФ запустила по военному аэродрому под Хмельницким 13 ракет с Ту-95МС. Все сбила ПВО,REVIEW,FALSE,UNKNOWN,TRUE,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
