event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text,ru_scope_text,representative_text,Stage1Triage,CandidateCensusComplete,ScopeAutoV1,ManualReviewRequired,UnknownPriorityV2,UnknownPriorityReasonV2,RussiaTargetTextHitsV2,UkraineActorEvidenceV2,RussiaActorEvidenceV2,UkraineAdm1EvidenceV2,CrimeaAdm1EvidenceV2,RussiaReviewMethodEvidenceV2,ResidualAuditFlags,RussiaTextHitsAudit,PossibleCompositeAudit,PossibleOtherYearAudit
63441,20240118,1,930351,espreso,https://espreso.tv/peremoga-ukraini-peremozhni-novini-694-dnya-viyni-gur-atakuvalo-naftoviy-terminal-u-rf-a-v-sevastopoli-zatonuv-korabel-okupantiv,FUEL_STORAGE_TERMINAL,нафтовий термінал,атак,694423,Sevastopol,Sevastopol',Lenins'kyi,33.5229142,44.6010512,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"Переможні новини 694-го дня війни: ГУР атакувало нафтовий термінал у РФ, а в Севастополі затонув корабель окупантів",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
63470,20240128,1,957756,espreso,https://espreso.tv/viyna-z-rosiyeyu-pozhezha-u-moskvi-guchni-vibukhi-u-sevastopoli-ta-ataka-droniv-na-naftobazu-u-krasnodarskomu-krai-de-u-rosiyan-vibukhalo-ta-palalo-tsogo-tizhnya,FUEL_STORAGE_TERMINAL,нафтобаз,Пожеж|атак|вибух|дрон,694423,Sevastopol,Sevastopol',Lenins'kyi,33.5229142,44.6010512,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"Пожежа у Москві, гучні вибухи у Севастополі та атака дронів на нафтобазу в Краснодарському краї: де у росіян вибухало та палало цього тижня",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
63484,20240204,1,975679,espreso,https://espreso.tv/viyna-z-rosiyeyu-ataka-na-naftopererobni-zavodi-na-teritorii-rf-ta-pozhezha-u-sevastopoli-bilya-belbeku-de-u-rosiyan-vibukhalo-ta-palalo-tsogo-tizhnya,REFINING_PETROCHEM_GAS,нафтоперероб,Атак|вибух|знищ|пожеж,694423,Sevastopol,Sevastopol',Lenins'kyi,33.5229142,44.6010512,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,"Атака на нафтопереробні заводи на території РФ, пожежа в Севастополі біля Бельбеку та знищений катер: де у росіян вибухало та палало цього тижня",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,TRUE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
58667,20240323,1,1725458,unian,https://www.unian.ua/war/novini-krimu-na-pivostrovi-ogolosili-trivogu-lunayut-vibuhi-video-12582321.html,STRATEGIC_AIRBASE,аеродром,вибух,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"В окупованому Криму пролунали вибухи: можливий """"приліт"""" по кораблях та аеродрому (відео)",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
63541,20240324,1,1109954,espreso,https://espreso.tv/viyna-z-rosiyeyu-ataka-droniv-gur-na-engels-pozhezha-na-npz-u-saratovskiy-oblasti-i-znishcheni-korabli-u-timchasovo-okupovanomu-sevastopoli-de-v-rosiyan-vibukhalo-ta-palalo-tsogo-tizhnya,REFINING_PETROCHEM_GAS,НПЗ,Атак|вибух|дрон|знищ|пожеж,694423,Sevastopol,Sevastopol',Lenins'kyi,33.5229142,44.6010512,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,"Атака дронів ГУР на Енгельс, пожежа на НПЗ у Саратовській області і знищені кораблі у тимчасово окупованому Севастополі: де в росіян вибухало та палало цього тижня",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,TRUE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
58708,20240329,1,1687376,pravdaua,https://www.pravda.com.ua/news/2024/03/29/7448842/,STRATEGIC_AIRBASE,аеродром,удар,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"Зеленський: Нам потрібні ATACMS для ударів не по Росії, а по аеродромах в Криму.",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
63573,20240402,1,1134504,espreso,https://espreso.tv/viyna-z-rosiyeyu-v-okupovanomu-sevastopoli-progrimili-vibukhi-ta-znikla-elektrika,ENERGY_GRID_SUPPORT,підстанц,вибух,694423,Sevastopol,Sevastopol',Lenins'kyi,33.5229142,44.6010512,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"У Севастополі вночі прогриміли вибухи та зникло світло: ЗМІ пишуть, що ГУР підірвало електропідстанцію",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
82635,20240409,1,1153756,espreso,https://espreso.tv/v-ukraini-znestrumleno-mayzhe-400-naselenikh-punktiv-situatsiya-v-energosistemi,ENERGY_GRID_SUPPORT,підстанц,атак,696643,Poltava,Poltava,Poltavs'ka,34.551245,49.589531,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Poltava,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,РФ атакувала високовольтні підстанції на Полтавщині та Львівщині: ситуація в енергосистемі станом на 9 квітня,REVIEW,FALSE,UNKNOWN,TRUE,L3_UA_GEO_NO_UA_ACTOR,UKRAINE_GEOCODE_WITHOUT_UA_ACTOR_EVIDENCE,,FALSE,FALSE,TRUE,FALSE,TRUE,POSSIBLE_COMPOSITE,,TRUE,FALSE
232902,20240417,1,1175362,espreso,https://espreso.tv/peremoga-ukraini-peremozhni-novini-784-go-dnya-viyni-udar-po-viyskovomu-aerodromu-u-dzhankoi-znishchennya-mi-8-u-samari-ta-ataka-na-aviazavod-u-tatarstani,STRATEGIC_AIRBASE,аеродром,атак|знищ|удар,709334,Dzhankoi,Crimea,Dzhankois'kyi,34.392872,45.713348,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"Переможні новини 784-го дня війни: удар по військовому аеродрому в Джанкої, знищення Мі-8 у Самарі та атака на авіазавод у Татарстані",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
232908,20240417,1,1175364,espreso,https://espreso.tv/article-okupanti-zminyuyut-taktiku-shturmiv-bilya-chasovogo-yaru-ta-uspishna-ataka-zsu-na-aerodrom-v-dzhankoi-kolonka-sergiya-zgurtsya,STRATEGIC_AIRBASE,аеродром,атак,709334,Dzhankoi,Crimea,Dzhankois'kyi,34.392872,45.713348,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,TRUE,FALSE,Окупанти змінюють тактику штурмів біля Часового Яру та успішна атака ЗСУ на аеродром в Джанкої. Колонка Сергія Згурця,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,TRUE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
