SourceEventID,VIINADate,ComponentID,ManualDecision,CanonicalEventDate,CountryScope,TargetOrEvent,TargetID,NodeID,Sector,PhysicalAttackStatus,ActorClaim,AttributionStatus,DedupeStatus,ScoringEligibility,DecisionReason,CandidateCensusComplete
305868,20240109,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2024-01-09,UKRAINE_OTHER,Vovchansk ammunition depot,,,,RUSSIAN_STRIKE_REPORTED,RUSSIAN_FORCES,REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Text explicitly concerns Russian aviation striking a Ukrainian ammunition depot in Vovchansk Kharkiv Oblast; near-Russia coordinate caused review,FALSE
240255,20240303,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2024-03-03,UKRAINE_OCCUPIED_OTHER,Enemy ammunition depot on Donetsk direction,,,,UKRAINIAN_STRIKE_REPORTED,UKRAINIAN_SOF,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target is on Donetsk battlefield in Ukrainian territory,FALSE
203297,20240309,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2024-03-09,UKRAINE_OCCUPIED_OTHER,Enemy howitzer and ammunition depot Kherson Oblast,,,,UKRAINIAN_STRIKE_REPORTED,UKRAINIAN_AERIAL_RECON,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target explicitly in Kherson Oblast Ukraine,FALSE
23592,20240407,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2024-04-07,UKRAINE_OCCUPIED_OTHER,Lysychansk refinery area infantry positions,,,,GROUND_COMBAT_REPORTED,RUSSIAN_INFANTRY_AND_UKRAINIAN_FIRE,MIXED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Report describes ground fighting near Lysychansk refinery in occupied Luhansk Oblast; not a Russia-proper deep-strike event,FALSE
349448,20240428,MAIN,INCLUDE_RUSSIA_PROPER,2024-04-27,RUSSIA_PROPER,Slavyansk-EKO refinery Slavyansk-on-Kuban Krasnodar Krai,TGT_RU_SLAVYANSK_EKO_REFINERY,NODE_RU_SLAVYANSK_EKO_REFINERY,REFINING_PETROCHEM_GAS,CONFIRMED_PHYSICAL_DAMAGE,UKRAINIAN_DRONE_ATTACK_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,DISTINCT_REPEAT_SAME_NODE,CENSUS_CANDIDATE_ONLY,Local Russian authority reported damaged distillation/rectification column and fire after drone attack; distinct repeat event after 2024-03-17 strike on same refinery,FALSE
27977,20240722,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2024-07-22,UKRAINE_OTHER,Vovchansk aggregate plant Russian positions,,,,UKRAINIAN_GROUND_DRONE_STRIKE_REPORTED,UKRAINIAN_FORCES,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target is Vovchansk aggregate plant in Kharkiv Oblast Ukraine,FALSE
59435,20240728,PARENT,SPLIT_REQUIRED,,MIXED,Weekly roundup 22-28 July 2024,,,,,COMPOSITE,COMPOSITE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_YET_ASSESSED,Article contains multiple independent Russia-proper and Crimea events plus no-damage attack attempts; split before counting,FALSE
59435,20240728,RU1,INCLUDE_RUSSIA_PROPER,2024-07-22,RUSSIA_PROPER,Tuapse oil refinery Krasnodar Krai,TGT_RU_TUAPSE_REFINERY,NODE_RU_TUAPSE_REFINERY,REFINING_PETROCHEM_GAS,CONFIRMED_PHYSICAL_DAMAGE,UKRAINIAN_HUR_DRONE_ATTACK_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,DISTINCT_REPEAT_SAME_NODE,CENSUS_CANDIDATE_ONLY,Drone event damaged refinery infrastructure and caused fire; this is a distinct July attack on a previously attacked node,FALSE
59435,20240728,RU2,INCLUDE_RUSSIA_PROPER,2024-07-23,RUSSIA_PROPER,Slavyanin rail ferry at Port Kavkaz Krasnodar Krai,TGT_RU_PORT_KAVKAZ_FERRY_SLAVYANIN_20240723,NODE_RU_PORT_KAVKAZ_FERRY_LOGISTICS,LOGISTICS_TRANSPORT,CONFIRMED_SUBSTANTIAL_DAMAGE,UKRAINIAN_DEFENCE_FORCES_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,UNIQUE_PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Ukrainian General Staff reported substantial damage to Russia's remaining rail ferry Slavyanin at Port Kavkaz; retain as logistics census candidate,FALSE
59435,20240728,RU3,INCLUDE_RUSSIA_PROPER,2024-07-27,RUSSIA_PROPER,Olenya strategic airbase Murmansk Oblast,TGT_RU_OLENYA_AIRBASE,NODE_RU_OLENYA_AIRBASE,MILITARY_AIR,CLAIMED_CONFIRMED_TARGET_HIT,UKRAINIAN_HUR_OPERATION_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,UNIQUE_PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Ukrainian intelligence sources and later HUR confirmation reported a strike at Olenya and damage to a Tu-22M3; facility-level impairment remains to be independently reconciled,FALSE
