SourceEventID,VIINADate,ComponentID,ManualDecision,CanonicalEventDate,CountryScope,TargetOrEvent,TargetID,NodeID,Sector,PhysicalAttackStatus,ActorClaim,AttributionStatus,DedupeStatus,ScoringEligibility,DecisionReason,CandidateCensusComplete
349304,20240303,MAIN,EXCLUDE_CRIMEA_SCOPE,2024-03-03,CRIMEA_SEVASTOPOL,Feodosia occupier oil pipeline,,,,CONFIRMED_SABOTAGE,CRIMEAN_PARTISANS_REPORTED,ANTI_OCCUPATION_ATTRIBUTION_REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Physical sabotage report concerns Feodosia in occupied Crimea; outside Russia-proper census,FALSE
349602,20241007,MAIN,EXCLUDE_CRIMEA_SCOPE,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,,,,CONFIRMED_PHYSICAL_HIT,UKRAINIAN_DEFENCE_FORCES_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,LINK_FEODOSIA_20241007,NOT_ELIGIBLE_RUSSIA_PROPER,Two merged reports concern the same Feodosia oil-terminal strike in occupied Crimea,FALSE
349599,20241007,MAIN,EXCLUDE_CRIMEA_SCOPE_COMMENTARY,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,,,,COMMENTARY_ON_CONFIRMED_STRIKE,UKRAINIAN_STRIKE_PREVIOUSLY_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,LINK_FEODOSIA_20241007,NOT_ELIGIBLE_RUSSIA_PROPER,Expert commentary on Feodosia strike; no new event and Crimea outside scope,FALSE
349613,20241008,MAIN,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,,,,FOLLOWUP_EFFECT_ASSESSMENT,UKRAINIAN_STRIKE_PREVIOUSLY_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,LINK_FEODOSIA_20241007,NOT_ELIGIBLE_RUSSIA_PROPER,Follow-up assessment of effects from the 7 October Feodosia strike,FALSE
349611,20241008,MAIN,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,,,,SATELLITE_FOLLOWUP,UKRAINIAN_STRIKE_PREVIOUSLY_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,LINK_FEODOSIA_20241007,NOT_ELIGIBLE_RUSSIA_PROPER,Satellite-image follow-up to same Feodosia strike,FALSE
349607,20241008,MAIN,EXCLUDE_CRIMEA_SCOPE_COMMENTARY,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,,,,COMMENTARY_ON_CONFIRMED_STRIKE,UKRAINIAN_STRIKE_PREVIOUSLY_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,LINK_FEODOSIA_20241007,NOT_ELIGIBLE_RUSSIA_PROPER,Commentary on importance of same Feodosia operation,FALSE
349608,20241008,MAIN,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,,,,SATELLITE_FOLLOWUP,UKRAINIAN_STRIKE_PREVIOUSLY_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,LINK_FEODOSIA_20241007,NOT_ELIGIBLE_RUSSIA_PROPER,First satellite images of same Feodosia strike,FALSE
349618,20241010,MAIN,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,,,,CONTINUING_FIRE_FOLLOWUP,UKRAINIAN_STRIKE_PREVIOUSLY_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,LINK_FEODOSIA_20241007,NOT_ELIGIBLE_RUSSIA_PROPER,Fourth-day fire and additional tank explosion are consequences of same strike not a distinct attack event,FALSE
349620,20241011,MAIN,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,,,,LOGISTICS_EFFECT_FOLLOWUP,UKRAINIAN_STRIKE_PREVIOUSLY_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,LINK_FEODOSIA_20241007,NOT_ELIGIBLE_RUSSIA_PROPER,Reported logistical consequences of same Feodosia strike,FALSE
349621,20241012,MAIN,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,,,,CONTINUING_FIRE_FOLLOWUP,UKRAINIAN_STRIKE_PREVIOUSLY_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,LINK_FEODOSIA_20241007,NOT_ELIGIBLE_RUSSIA_PROPER,Sixth-day firefighting follow-up to same Feodosia strike,FALSE
