event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text,ru_scope_text,representative_text,Stage1Triage,CandidateCensusComplete,ScopeAutoV1,ManualReviewRequired,UnknownPriorityV2,UnknownPriorityReasonV2,RussiaTargetTextHitsV2,UkraineActorEvidenceV2,RussiaActorEvidenceV2,UkraineAdm1EvidenceV2,CrimeaAdm1EvidenceV2,RussiaReviewMethodEvidenceV2
58255,20240106,1,1650119,liga,https://news.liga.net/politics/news/boytsy-gur-unichtozhili-sklady-boepripasov-rossiyan-v-krymu-4-yanvarya-sputnikovye-snimki,AMMUNITION_ARSENAL,склады боеприпас,уничтож,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,Бойцы ГУР уничтожили склады боеприпасов россиян в Крыму 4 января – спутниковые снимки,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,TRUE,FALSE,TRUE,FALSE
305868,20240109,1,1636497,meduza,https://t.me/The_Wrong_Side/14078,AMMUNITION_ARSENAL,складу боеприпас,удар,807359,Zavody Pervyye,Kharkiv,Vovchans'kyi,36.942443,50.262666,REVIEW,REVIEW_COORDINATE_NEAR_RU,12.029,489051,Staraya Tavolzhanka,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,TRUE,FALSE,"Авиация ВС РФ, как утверждается, нанесла удар по украинскому складу боеприпасов в Волчанске в Харьковской области.",REVIEW,FALSE,UNKNOWN,TRUE,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,TRUE,TRUE,FALSE,TRUE
58290,20240114,1,1723818,unian,https://www.unian.ua/war/ataka-na-aerodrom-saki-likvidovano-rosiyskogo-pidpolkovnika-chornobrivogo-12510867.html,STRATEGIC_AIRBASE,аеродром,атак,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"В Криму під час атаки на аеродром """"задвохсотили"""" топ-окупанта (фото)",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE
63441,20240118,1,930351,espreso,https://espreso.tv/peremoga-ukraini-peremozhni-novini-694-dnya-viyni-gur-atakuvalo-naftoviy-terminal-u-rf-a-v-sevastopoli-zatonuv-korabel-okupantiv,FUEL_STORAGE_TERMINAL,нафтовий термінал,атак,694423,Sevastopol,Sevastopol',Lenins'kyi,33.5229142,44.6010512,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"Переможні новини 694-го дня війни: ГУР атакувало нафтовий термінал у РФ, а в Севастополі затонув корабель окупантів",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE
63470,20240128,1,957756,espreso,https://espreso.tv/viyna-z-rosiyeyu-pozhezha-u-moskvi-guchni-vibukhi-u-sevastopoli-ta-ataka-droniv-na-naftobazu-u-krasnodarskomu-krai-de-u-rosiyan-vibukhalo-ta-palalo-tsogo-tizhnya,FUEL_STORAGE_TERMINAL,нафтобаз,Пожеж|атак|вибух|дрон,694423,Sevastopol,Sevastopol',Lenins'kyi,33.5229142,44.6010512,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"Пожежа у Москві, гучні вибухи у Севастополі та атака дронів на нафтобазу в Краснодарському краї: де у росіян вибухало та палало цього тижня",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE
63477,20240131,1,965531,espreso,https://espreso.tv/viyna-z-rosiyeyu-u-sevastopoli-pozhezha-v-rayoni-aerodromu-belbek-okupanti-zayavili-pro-robotu-ppo,STRATEGIC_AIRBASE,аеродром,пожеж,694423,Sevastopol,Sevastopol',Lenins'kyi,33.5229142,44.6010512,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,У Севастополі пожежа в районі аеродрому Бельбек. Окупанти заявили про роботу ППО,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,TRUE,FALSE,TRUE,FALSE
58381,20240131,2,1685856,pravdaua,https://www.pravda.com.ua/news/2024/01/31/7439735/,STRATEGIC_AIRBASE,аеродром,вибух,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"У кількох містах Криму пролунали вибухи, над аеродромом """"Бельбек"""" видно дим – ЗМІ.",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,FALSE,FALSE,TRUE,FALSE
132888,20240131,1,1847451,liveuamap,https://t.me/Crimeanwind/53088,STRATEGIC_AIRBASE,аеродром,знищ|пошкодж|ракет|удар,702463,Liubymivka,Sevastopol',Nakhimovs'kyi,33.57061,44.69037,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,Повідомляється про знищення радару і пошкодження літаків на аеродромі Бельбек в результаті ракетного удару,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,TRUE,FALSE,TRUE,FALSE
63484,20240204,1,975679,espreso,https://espreso.tv/viyna-z-rosiyeyu-ataka-na-naftopererobni-zavodi-na-teritorii-rf-ta-pozhezha-u-sevastopoli-bilya-belbeku-de-u-rosiyan-vibukhalo-ta-palalo-tsogo-tizhnya,REFINING_PETROCHEM_GAS,нафтоперероб,Атак|вибух|знищ|пожеж,694423,Sevastopol,Sevastopol',Lenins'kyi,33.5229142,44.6010512,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,"Атака на нафтопереробні заводи на території РФ, пожежа в Севастополі біля Бельбеку та знищений катер: де у росіян вибухало та палало цього тижня",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,TRUE,FALSE,TRUE,FALSE
89734,20240206,1,1848302,liveuamap,https://x.com/Osinttechnical/status/1754897963820646729,STRATEGIC_AIRBASE,аеродром,ракет,698380,Orlovka,Sevastopol',Nakhimovs'kyi,33.56914,44.70527,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,"Кадри двох українських крилатих ракет Шторм Шадо/Скальп, що пролітають прямо над російською батареєю С-400 у західному Криму, коли вони прямують до аеродрому Бельбек, 31 січня",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE
