event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text,ru_scope_text,representative_text,Stage1Triage,CandidateCensusComplete,ScopeAutoV1,ManualReviewRequired,UnknownPriorityV2,UnknownPriorityReasonV2,RussiaTargetTextHitsV2,UkraineActorEvidenceV2,RussiaActorEvidenceV2,UkraineAdm1EvidenceV2,CrimeaAdm1EvidenceV2,RussiaReviewMethodEvidenceV2,ResidualAuditFlags,RussiaTextHitsAudit,PossibleCompositeAudit,PossibleOtherYearAudit
132875,20250304,1,2277178,liveuamap,https://t.me/rostov_glavniy/110625,FUEL_STORAGE_TERMINAL,нафтобаз,безпілот|удар,701104,Milove,Luhans'k,Milovs'kyi,40.13198,49.38516,STRICT,COORDINATE_RU_STRICT,0.578,810743,Proletarka,a_ukr_init_b,0,a_ukr_b,0,a_rus_init_b,0,a_rus_b,1,FALSE,FALSE,У місті Чортково Ростовської області внаслідок удару безпілотника загорілася нафтобаза,REVIEW,FALSE,UNKNOWN,TRUE,L2_RUS_ACTOR_UA_GEO,RUSSIAN_ACTOR_AND_UKRAINE_GEOCODE,,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE,FALSE
67651,20250425,5,2331508,unian,https://www.unian.ua/war/ataka-bezpilotnikiv-na-aerodromi-u-krimu-polkovnik-zapasu-ociniv-do-chogo-gotuyutsya-zsu-12989487.html,STRATEGIC_AIRBASE,аеродром,Атак|безпілот,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,0,a_rus_init_b,0,a_rus_b,0,TRUE,FALSE,"Атака безпілотників на аеродроми у Криму: полковник запасу оцінив, до чого готуються ЗСУ",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE
67699,20250502,1,2337781,espreso,https://espreso.tv/viyna-z-rosiyeyu-bpla-masovano-atakuvali-rosiyski-viyskovi-aerodromi-v-krimu,STRATEGIC_AIRBASE,аеродром,атак,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,FALSE,FALSE,БПЛА масовано атакували російські військові аеродроми в Криму,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE
67703,20250502,1,2338843,unian,https://www.unian.ua/war/ataka-na-krim-2-travnya-bezpilotniki-vdarili-po-aerodromah-12995892.html,STRATEGIC_AIRBASE,аеродром,Безпілот,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,FALSE,FALSE,Безпілотники масовано вдарили по Криму: ціллю стали аеродроми (відео),REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,TRUE,FALSE,TRUE,FALSE,,,FALSE,FALSE
67742,20250516,1,2352103,unian,https://www.unian.ua/war/krim-pid-atakoyu-gorit-sklad-boyepripasiv-pracyuye-ppo-13009881.html,AMMUNITION_ARSENAL|STRATEGIC_AIRBASE,аеродром|склад боєприпас,атак|вибух,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,FALSE,FALSE,"У Криму прогриміли гучні вибухи: під атакою аеродроми, палає склад боєприпасів (відео)",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,TRUE,FALSE,TRUE,FALSE,,,FALSE,FALSE
67744,20250517,2,2353802,unian,https://www.unian.ua/war/vibuhi-v-krimu-droni-sbu-urazili-skladi-boyepripasiv-voroga-video-13010913.html,AMMUNITION_ARSENAL,склади боєприпас,Дрон,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,0,a_rus_init_b,0,a_rus_b,0,TRUE,FALSE,"Дрони СБУ рознесли склади боєприпасів окупантів в Криму, - джерела (відео)",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE
67745,20250517,1,2352981,espreso,https://espreso.tv/viyna-z-rosiyeyu-droni-sbu-urazili-skladi-boepripasiv-126-brigadi-beregovoi-oboroni-rf-u-krimu-zmi,AMMUNITION_ARSENAL,склади боєприпас,Дрон,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,TRUE,FALSE,Дрони СБУ уразили склади боєприпасів 126-ї бригади берегової оборони РФ у Криму,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,TRUE,FALSE,TRUE,FALSE,,,FALSE,FALSE
67786,20250605,1,2370146,unian,https://www.unian.ua/world/viyna-v-ukrajini-chomu-tramp-ne-vidreaguvav-na-udari-sbu-po-aerodromah-rf-13028913.html,STRATEGIC_AIRBASE,аеродром,удар,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,TRUE,FALSE,"Експерт припустив, чому Трамп мовчить про удари України по аеродромах РФ та Кримському мосту",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
67828,20250628,1,2427790,liga,https://news.liga.net/politics/news/sputnik-nasa-zafiksiroval-bolshoi-pozhar-na-aerodrome-kirovskoe-v-krymu-posle-udara-sbu,STRATEGIC_AIRBASE,аэродром,пожар|удар,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,TRUE,FALSE,"На аэродроме """"Кировское"""" в оккупированном Крыму случился большой пожар после удара СБУ",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,TRUE,FALSE,TRUE,FALSE,,,FALSE,FALSE
67824,20250628,1,2394723,espreso,https://espreso.tv/viyna-z-rosiyeyu-droni-sbu-atakuvali-viyskoviy-aerodrom-kirovske-v-krimu-znishcheno-vorozhiy-zgrk-pantsir-s1-ta-tri-gelikopteri,STRATEGIC_AIRBASE,аеродром,Дрон|атак|знищ,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,TRUE,FALSE,"Дрони СБУ атакували військовий аеродром """"Кіровське"""" в Криму: знищено ворожий ЗГРК """"Панцир-С1"""" та три гелікоптери",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
67829,20250629,1,2396139,liga,https://news.liga.net/all/chronicle/novaya-ugroza-iz-rossii-vse-glavnoe-ob-eskalatsii-voennoy-agressii-rf-protiv-ukrainy-live,STRATEGIC_AIRBASE,аэродром,атак|ракет,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,TRUE,FALSE,"РФ атаковала Украину ракетами и БпЛА, СБУ попала по аэродрому оккупантов в Крыму – LIVE",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE
67872,20250804,1,2471209,liga,https://news.liga.net/politics/news/drony-sbu-porazili-pyat-rossiiskih-istrebitelei-na-aerodrome-v-okkupirovannom-krymu,STRATEGIC_AIRBASE,аэродром,Дрон,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,0,a_rus_init_b,0,a_rus_b,0,TRUE,FALSE,Дроны СБУ поразили пять российских истребителей на аэродроме в оккупированном Крыму,REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE
67888,20250808,1,2439989,espreso,https://espreso.tv/viyna-z-rosiyeyu-buv-potuzhniy-vibukh-ydetsya-pro-pidstantsiyu-titan-bratchuk-pro-mozhlive-urazhennya-obekta-v-krimu,ENERGY_GRID_SUPPORT,підстанц,вибух,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,0,a_rus_init_b,1,a_rus_b,0,FALSE,FALSE,"Був потужний вибух, йдеться про підстанцію """"Титан"""": Братчук про можливе ураження об'єкта в Криму",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE,FALSE
72574,20250822,1,2460928,espreso,https://espreso.tv/viyna-z-rosiyeyu-zsu-znishchili-punkt-bazuvannya-bpla-forpost-na-aerodromi-v-sevastopoli,STRATEGIC_AIRBASE,аеродром,знищ,694423,Sevastopol,Sevastopol',Lenins'kyi,33.52291,44.60105,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,0,a_rus_init_b,1,a_rus_b,1,TRUE,FALSE,"ЗСУ знищили пункт базування БПЛА """"Форпост"""" на аеродромі в Севастополі",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,TRUE,FALSE,TRUE,FALSE,,,FALSE,FALSE
67927,20250824,1,2461217,liveuamap,https://t.me/GeneralStaffZSU/28142,STRATEGIC_AIRBASE,аеродром,знищ|удар,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,1,a_rus_b,1,TRUE,FALSE,"Генеральний Штаб Збройних Сил України: Силами та засобами ВМС ЗС України було знищено пункт базування БпЛА """"""""Форпост""""""""(""""""""Mohajer-6"""""""") на аеродромі Херсонес у м. Севастополі, на території тимчасово окупованого Криму. За результатами удару було уражено до трьох БпЛА Mohajer-6 та два БпЛА Форпост",REVIEW,FALSE,UNKNOWN,TRUE,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,TRUE,FALSE,TRUE,FALSE,POSSIBLE_COMPOSITE,,TRUE,FALSE
