event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text,ru_scope_text,representative_text,Stage1Triage,CandidateCensusComplete
95566,20250118,1,2258161,meduza,https://meduza.io/feature/2025/01/18/voyna,PIPELINE_PUMPING,трубопровод,атак|поврежд|удар,696877,Podil,Kiev City,Shevchenkivs'kyi,30.504631,50.473602,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"В результате атаки, по словам мэра, в Шевченковском районе загорелось нежилое здание, повреждены жилой дом, трубопровод водоснабжения и вход на станцию метро «Лукьяновская». Ее закрыли для пассажиров на несколько часов. Судя по видео очевидцев с места событий, из-за прорыва трубопровода в районе удара затопило улицы.",MACHINE_NONCANDIDATE,FALSE
30817,20250122,1,2236617,liveuamap,https://t.me/GeneralStaffZSU/20123,FUEL_STORAGE_TERMINAL,нафтобаз,атак,689198,Volnovakha,Donets'k,Volnovas'kyi,37.49496,47.59964,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,"Генштаб ЗСУ взяв на себе відповідальність за атаки на нафтобазу в Лісках, що у Воронезькій області, військово-авіаційний завод у Смоленську та штаб 29-ї армії у Волновасі, що на окупованій частині Донецької область України",MACHINE_NONCANDIDATE,FALSE
81686,20250122,1,2236618,liveuamap,https://t.me/GeneralStaffZSU/20123,FUEL_STORAGE_TERMINAL,нафтобаз,атак,695094,Ruttschenkowo,Donets'k,Donets'ka,37.675289,47.955082,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,"Генштаб ЗСУ взяв на себе відповідальність за атаки на нафтобазу в Лісках, що у Воронезькій області, військово-авіаційний завод у Смоленську та штаб 29-ї армії у Волновасі, що на окупованій частині Донецької область України",MACHINE_NONCANDIDATE,FALSE
30818,20250123,1,2236716,liveuamap,https://t.me/GeneralStaffZSU/20123,FUEL_STORAGE_TERMINAL,нафтобаз,атак,689198,Volnovakha,Donets'k,Volnovas'kyi,37.49496,47.59964,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,"Генштаб ЗСУ взяв на себе відповідальність за атаки на нафтобазу в Лісках, що у Воронезькій області, військово-авіаційний завод у Смоленську та штаб 29-ї армії у Волновасі, що на окупованій частині Донецької область України",MACHINE_NONCANDIDATE,FALSE
81691,20250123,1,2236717,liveuamap,https://t.me/GeneralStaffZSU/20123,FUEL_STORAGE_TERMINAL,нафтобаз,атак,695094,Ruttschenkowo,Donets'k,Donets'ka,37.675289,47.955082,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,"Генштаб ЗСУ взяв на себе відповідальність за атаки на нафтобазу в Лісках, що у Воронезькій області, військово-авіаційний завод у Смоленську та штаб 29-ї армії у Волновасі, що на окупованій частині Донецької область України",MACHINE_NONCANDIDATE,FALSE
67469,20250129,1,2229617,pravdaua,https://www.pravda.com.ua/news/2025/01/29/7495795/,REFINING_PETROCHEM_GAS,НПЗ,атак|дрон,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,Партизани помітили жваві перевезення пального через Крим після атак дронів на російські НПЗ.,REVIEW,FALSE
67471,20250130,1,2229640,pravdaua,https://www.pravda.com.ua/news/2025/01/29/7495795/,REFINING_PETROCHEM_GAS,НПЗ,атак|дрон,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,FALSE,FALSE,Партизани помітили жваві перевезення пального через Крим після атак дронів на російські НПЗ.,REVIEW,FALSE
397243,20250205,1,2237519,liveuamap,https://t.me/channel24_ua/162527,ENERGY_GRID_SUPPORT,підстанц,атак,12233194,Vita-Lytovska,Kiev City,Holosiïvs'kyi,30.55229,50.3511,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,Глава МАГАТЕ попередив про ризик ядерної аварії в Україні. Рафаель Гроссі відвідав київську електропідстанцію та застеріг про небезпеку можливої ядерної катастрофи внаслідок російських атак на енергетичну інфраструктуру.,MACHINE_NONCANDIDATE,FALSE
92521,20250205,1,2243178,espreso,https://espreso.tv/article-ymovirno-tse-raketa-palyanitsya-udar-po-npz-u-krasnodarskomu-krai-rf-ta-tekhnologii-yaki-proponuyut-zsu-ukrainski-novatori-kolonka-sergiya-zgurtsya,REFINING_PETROCHEM_GAS,НПЗ,ракет|удар,696605,Palianytsia,Ivano-Frankivs'k,Iaremchans'ka,24.4443,48.348857,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,"""""Ймовірно, це ракета """"Паляниця"""": удар по НПЗ у Краснодарському краї РФ та технології, які пропонують ЗСУ українські новатори. Колонка Сергія Згурця",MACHINE_NONCANDIDATE,FALSE
222660,20250217,1,2452743,meduza,https://meduza.io/feature/2025/02/17/voyna,PIPELINE_PUMPING,перекачивающая станц,атак|беспилот|удар,705812,Kropyvnytskyy,Kirovohrad,Kirovohrads'kyi,32.26637,48.51036,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,0,a_ukr_b,0,a_rus_init_b,0,a_rus_b,0,TRUE,TRUE,Украинские беспилотники атаковали Краснодарский край. Под удар попали Ильский завод и нефтеперекачивающая станция «Кропоткинская»,REVIEW,FALSE
111877,20250224,1,2288810,pravdaua,https://www.pravda.com.ua/news/2025/02/24/7499774/,PORT_EXPORT_LOGISTICS,порт,атак|дрон|пожеж|пошкодж,698740,Odessa,Odessa,Odes'ka,30.73169,46.48421,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,0,a_ukr_b,0,a_rus_init_b,0,a_rus_b,0,FALSE,FALSE,"Нічна атака дронів: під Одесою пошкоджено порт, на Київщині ліквідували пожежу. Ціни на нафту впали, продовживши втрати минулого тижня, на тлі перспективи відновлення експорту з нафтових родовищ Курдистану.",MACHINE_NONCANDIDATE,FALSE
395846,20250224,1,2288811,pravdaua,https://www.pravda.com.ua/news/2025/02/24/7499774/,PORT_EXPORT_LOGISTICS,порт,атак|дрон|пожеж|пошкодж,11777953,Deremezna,Kiev,Obukhivs'kyi,30.47662,50.02393,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,0,a_ukr_b,0,a_rus_init_b,0,a_rus_b,0,FALSE,FALSE,"Нічна атака дронів: під Одесою пошкоджено порт, на Київщині ліквідували пожежу. Ціни на нафту впали, продовживши втрати минулого тижня, на тлі перспективи відновлення експорту з нафтових родовищ Курдистану.",MACHINE_NONCANDIDATE,FALSE
111881,20250224,1,2276262,pravdaua,https://www.pravda.com.ua/news/2025/02/24/7499774/,PORT_EXPORT_LOGISTICS,порт,атак|дрон|пожеж|пошкодж,698740,Odessa,Odessa,Odes'ka,30.73169,46.48421,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,FALSE,FALSE,"Нічна атака дронів: під Одесою пошкоджено порт, на Київщині ліквідували пожежу.",MACHINE_NONCANDIDATE,FALSE
395849,20250224,1,2276263,pravdaua,https://www.pravda.com.ua/news/2025/02/24/7499774/,PORT_EXPORT_LOGISTICS,порт,атак|дрон|пожеж|пошкодж,11777953,Deremezna,Kiev,Obukhivs'kyi,30.47662,50.02393,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,FALSE,FALSE,"Нічна атака дронів: під Одесою пошкоджено порт, на Київщині ліквідували пожежу.",MACHINE_NONCANDIDATE,FALSE
111883,20250225,2,2274020,pravdaua,https://www.pravda.com.ua/news/2025/02/24/7499774/,PORT_EXPORT_LOGISTICS,порт,атак|дрон|пожеж|пошкодж,698740,Odessa,Odessa,Odes'ka,30.731689,46.484213,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"Нічна атака дронів: під Одесою пошкоджено порт, на Київщині ліквідували пожежу.",MACHINE_NONCANDIDATE,FALSE
395851,20250225,1,2274021,pravdaua,https://www.pravda.com.ua/news/2025/02/24/7499774/,PORT_EXPORT_LOGISTICS,порт,атак|дрон|пожеж|пошкодж,11777953,Deremezna,Kiev,Obukhivs'kyi,30.476622,50.023928,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,FALSE,FALSE,"Нічна атака дронів: під Одесою пошкоджено порт, на Київщині ліквідували пожежу.",MACHINE_NONCANDIDATE,FALSE
184404,20250227,1,2275058,liveuamap,https://t.me/GeneralStaffZSU/21439,REFINING_PETROCHEM_GAS|STRATEGIC_AIRBASE,аеродром|нафтоперероб,удар,703448,Kyiv,Kiev City,Shevchenkivs'kyi,30.52914,50.44426,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,TRUE,FALSE,Генштаб Збройних сил України повідомляє про удари по аеродромах Саки і Кача в окупованому Криму та нафтопереробному заводі Туапси в Краснодарському краї,MACHINE_NONCANDIDATE,FALSE
81836,20250228,3,2292511,pravdaua,https://www.pravda.com.ua/news/2025/02/28/7500624/,AMMUNITION_ARSENAL,склад термобаричних боєприпас,знищ,695094,Ruttschenkowo,Donets'k,Donets'ka,37.67529,47.95508,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,0,a_ukr_b,0,a_rus_init_b,0,a_rus_b,0,FALSE,FALSE,Сили оборони знищили склад термобаричних боєприпасів ворога на Донеччині.,MACHINE_NONCANDIDATE,FALSE
81841,20250301,3,2278005,pravdaua,https://www.pravda.com.ua/news/2025/02/28/7500624/,AMMUNITION_ARSENAL,склад термобаричних боєприпас,знищ,695094,Ruttschenkowo,Donets'k,Donets'ka,37.67529,47.95508,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,FALSE,FALSE,Сили оборони знищили склад термобаричних боєприпасів ворога на Донеччині.,MACHINE_NONCANDIDATE,FALSE
111890,20250301,1,2276436,espreso,https://espreso.tv/viyna-z-rosiyeyu-rf-vdarila-balistikoyu-po-odesi-poshkodzheno-port-ta-inozemne-sudno-dvoe-poranenikh,PORT_EXPORT_LOGISTICS,порт,пошкодж,698740,Odessa,Odessa,Odes'ka,30.73169,46.48421,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,FALSE,FALSE,"РФ вдарила балістикою по Одесі: пошкоджено порт та іноземний контейнеровоз, двоє поранених",MACHINE_NONCANDIDATE,FALSE
