event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text,ru_scope_text,representative_text,Stage1Triage,CandidateCensusComplete,ScopeAutoV1,ManualReviewRequired
222660,20250217,1,2452743,meduza,https://meduza.io/feature/2025/02/17/voyna,PIPELINE_PUMPING,перекачивающая станц,атак|беспилот|удар,705812,Kropyvnytskyy,Kirovohrad,Kirovohrads'kyi,32.26637,48.51036,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,0,a_ukr_b,0,a_rus_init_b,0,a_rus_b,0,TRUE,TRUE,Украинские беспилотники атаковали Краснодарский край. Под удар попали Ильский завод и нефтеперекачивающая станция «Кропоткинская»,REVIEW,FALSE,RUSSIA_PROPER,TRUE
67700,20250502,1,2356582,pravdaua,https://www.pravda.com.ua/news/2025/05/2/7510185/,STRATEGIC_AIRBASE,аеродром,атак|вибух,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,FALSE,TRUE,"У Росії заявили про масовану атаку БпЛА на Крим: біля військових аеродромів лунали вибухи. Прем’єр-міністр Польщі Дональд Туск у своїй промові на 1 травня сказав, що Польща має стати """"регіональною потугою"""" і має для того усі передумови.",REVIEW,FALSE,CONFLICT_OR_COMPOSITE,TRUE
67698,20250502,1,2338735,pravdaua,https://www.pravda.com.ua/news/2025/05/2/7510185/,STRATEGIC_AIRBASE,аеродром,атак|вибух,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,FALSE,TRUE,У Росії заявили про масовану атаку БпЛА на Крим: біля військових аеродромів лунали вибухи.,REVIEW,FALSE,CONFLICT_OR_COMPOSITE,TRUE
30319,20250818,1,2532769,pravdaua,https://www.pravda.com.ua/news/2025/08/18/7526736/,PIPELINE_PUMPING,Нафтопров,удар,689151,Nikol's'ke,Donets'k,Volodars'kyi,37.31873,47.19947,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,FALSE,TRUE,"Нафтопровід """"Дружба"""" зупинив роботу після удару Сили оборони по станції """"Нікольське"""" в РФ.",REVIEW,FALSE,RUSSIA_PROPER,TRUE
90778,20250912,1,2531042,liga,https://news.liga.net/politics/news/drony-sbu-porazili-klyuchevoi-eksportnyi-port-v-rossii-primorsk-istochniki,PORT_EXPORT_LOGISTICS,порт,Дрон,696292,Prymorsk,Zaporizhzhya,Prymors'kyi,36.36642,46.71265,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Prymorsk,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,TRUE,TRUE,"Дроны СБУ поразили ключевой экспортный порт в России """"Приморск"""" – источник",REVIEW,FALSE,RUSSIA_PROPER,TRUE
193520,20250914,1,2531077,liga,https://news.liga.net/politics/chronicle/novaya-ugroza-iz-rossii-vse-glavnoe-ob-eskalatsii-voennoy-agressii-rf-protiv-ukrainy-live,REFINING_PETROCHEM_GAS,НПЗ,атак|дрон,703656,Kupiansk,Kharkiv,Kupians'ka,37.61478,49.7108,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,TRUE,TRUE,"В Ленинградской области дроны атаковали НПЗ, ситуация в Купянске под контролем ВСУ – LIVE",REVIEW,FALSE,RUSSIA_PROPER,TRUE
399685,20251111,1,2564210,liga,https://news.liga.net/politics/news/genshtab-podtverdil-udary-po-npz-saratova-po-feodosii-i-okkupirovannoi-donetskoi-oblasti,REFINING_PETROCHEM_GAS,НПЗ,удар,,,,,35.38391,45.02665,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,FALSE,TRUE,"Генштаб подтвердил удары по НПЗ Саратова, Феодосии и оккупированной Донецкой области",REVIEW,FALSE,CONFLICT_OR_COMPOSITE,TRUE
95110,20251126,1,2528240,liveuamap,https://t.me/GeneralStaffZSU/31799,FUEL_STORAGE_TERMINAL|REFINING_PETROCHEM_GAS,нафтовому термінал|нафтоперероб,Ракет|безпілот|удар,696877,Podil,Kiev City,Shevchenkivs'kyi,30.47813,50.44131,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,1,a_rus_b,1,TRUE,TRUE,"Генеральний Штаб Збройних Сил України: у ніч на 25 листопада підрозділи Ракетних військ і артилерії у взаємодії зі Силами спеціальних операцій, берегових ракетних військ ВМС та Сил безпілотних систем із застосуванням реактивних БпЛА Барс і крилатих ракет Нептун завдали успішних ударів по декількох російських стратегічних об'єктах. У м. Таганрог Ростовської області РФ зафіксовано ураження Авіаремонтного заводу ТАНТК ім. Г.М. Берієва та підприємства з виробництва БпЛА Молнія - Атлант Аеро. Окрім того, підрозділи Сили оборони України завдали успішного ураження по нафтовому терміналу Шесхаріс у Новоросійську, а також нафтопереробному заводу Туапсинський у Краснодарському Краю",REVIEW,FALSE,RUSSIA_PROPER,TRUE
188507,20251129,1,2535892,liga,https://news.liga.net/politics/chronicle/rossiyane-udarili-po-zaporozhyu-i-odesse-izvestny-vse-28-punktov-mirnogo-plana-live,REFINING_PETROCHEM_GAS,НПЗ,атак|дрон|ракет,703448,Kyiv,Kiev City,Shevchenkivs'kyi,30.52355,50.45044,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,FALSE,TRUE,"Россия атакует Киев и область дронами и ракетами, в России горит Афипский НПЗ – LIVE",REVIEW,FALSE,RUSSIA_PROPER,TRUE
188516,20251130,1,2564365,liga,https://news.liga.net/politics/news/kazahstan-vyrazil-protest-kievu-iz-za-ataki-po-neftyanomu-terminalu-v-rf-prosyat-ne-dopuskat-takogo,FUEL_STORAGE_TERMINAL,нефтяному терминал,атак,703448,Kyiv,Kiev City,Shevchenkivs'kyi,30.52355,50.45044,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,FALSE,TRUE,Казахстан выразил протест Киеву из-за атаки по нефтяному терминалу в РФ: просят не допускать такого,REVIEW,FALSE,RUSSIA_PROPER,TRUE
