SourceEventID,VIINADate,ComponentID,ManualDecision,CanonicalEventDate,CountryScope,TargetOrEvent,TargetID,NodeID,Sector,DedupeStatus,ScoringEligibility,DecisionReason,CandidateCensusComplete
73361,20250302,PARENT,SPLIT_REQUIRED,,MIXED,Selidove thermobaric ammunition depot plus Ilsky refinery,,,,COMPOSITE,NOT_YET_ASSESSED,Single General Staff report contains occupied-Ukraine ammunition target and separate Russia-proper refinery strike,FALSE
73361,20250302,UA1,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-03-02,UKRAINE_OCCUPIED_OTHER,Selidove thermobaric ammunition depot,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target explicitly in occupied Donetsk Oblast Ukraine,FALSE
73361,20250302,RU1,INCLUDE_RUSSIA_PROPER,2025-03-02,RUSSIA_PROPER,Ilsky oil refinery Krasnodar Krai,TGT_RU_ILSKY_REFINERY_20250302,NODE_RU_ILSKY_REFINERY,REFINING_PETROCHEM_GAS,DISTINCT_REPEAT_SAME_NODE,CENSUS_CANDIDATE_ONLY,General Staff explicitly reported strike on Ilsky refinery; separate event from 17 February strike,FALSE
111939,20250311,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-03-11,UKRAINE_OTHER,Odesa seaport,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Russian ballistic strike on Odesa port in Ukraine,FALSE
82322,20250703,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-07-03,UKRAINE_OCCUPIED_OTHER,Ammunition depots near Khartsyzk Donetsk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target explicitly in occupied Donetsk Oblast Ukraine,FALSE
186348,20250704,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-07-04,UKRAINE_OTHER,DTEK equipment and transformer substations Kyiv,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Russian attack on Kyiv energy infrastructure,FALSE
186793,20250731,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-07-31,UKRAINE_OTHER,Transformer substation Kyiv,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Russian attack on Kyiv substation,FALSE
325144,20250819,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-08-19,UKRAINE_OCCUPIED_OTHER,Russian ammunition depots Luhansk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Targets lie in occupied Luhansk Oblast Ukraine,FALSE
158715,20250924,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-09-18,UKRAINE_OCCUPIED_OTHER,Ammunition depot Bohdanivka Luhansk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target lies in occupied Luhansk Oblast Ukraine,FALSE
358786,20251004,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-10-04,UKRAINE_OTHER,Substation supplying Chornobyl power infrastructure Slavutych/Chernihiv area,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Report concerns Russian Shahed attack on Ukrainian energy infrastructure,FALSE
112678,20251009,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-10-09,UKRAINE_OTHER,Odesa-region port and energy infrastructure,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Russian attack in Odesa Oblast Ukraine,FALSE
90342,20251010,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-10-10,UKRAINE_OTHER,Pryluky oil depot Chernihiv Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target is in Chernihiv Oblast Ukraine,FALSE
325162,20251027,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-10-27,UKRAINE_OCCUPIED_OTHER,Oil depot and fuel warehouse occupied Luhansk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Targets lie in occupied Luhansk Oblast Ukraine,FALSE
96592,20251030,PARENT,SPLIT_REQUIRED,,RUSSIA_PROPER,Three Russian oil and gas processing plants,,,,COMPOSITE,NOT_YET_ASSESSED,General Staff report contains three physically distinct Russia-proper industrial targets,FALSE
96592,20251030,RU1,INCLUDE_RUSSIA_PROPER,2025-10-30,RUSSIA_PROPER,Novospassky oil refinery Ulyanovsk Oblast,TGT_RU_NOVOSPASSKY_REFINERY_20251030,NODE_RU_NOVOSPASSKY_REFINERY,REFINING_PETROCHEM_GAS,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff explicitly reported strike on Novospassky refinery,FALSE
96592,20251030,RU2,INCLUDE_RUSSIA_PROPER,2025-10-30,RUSSIA_PROPER,Mari oil refinery Mari El Republic,TGT_RU_MARI_REFINERY_20251030,NODE_RU_MARI_REFINERY,REFINING_PETROCHEM_GAS,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff explicitly reported strike on Mari refinery,FALSE
96592,20251030,RU3,INCLUDE_RUSSIA_PROPER,2025-10-30,RUSSIA_PROPER,Budyonnovsk gas processing plant Stavropol Krai,TGT_RU_BUDYONNOVSK_GAS_PLANT_20251030,NODE_RU_BUDYONNOVSK_GAS_PLANT,REFINING_PETROCHEM_GAS,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff explicitly reported strike on Budyonnovsk gas processing plant,FALSE
352049,20251102,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-11-02,UKRAINE_OCCUPIED_OTHER,Alchevsk electricity substation Luhansk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target is in occupied Luhansk Oblast Ukraine,FALSE
378897,20251103,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-11-03,UKRAINE_OCCUPIED_OTHER,Shakhtarsk oil depot Donetsk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target is in occupied Donetsk Oblast Ukraine,FALSE
365495,20251109,MAIN,INCLUDE_RUSSIA_PROPER,2025-11-09,RUSSIA_PROPER,Korenevo electricity substation Kursk Oblast,TGT_RU_KORENEVO_SUBSTATION_20251109,NODE_RU_KORENEVO_SUBSTATION,ENERGY_GRID_SUPPORT,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Text explicitly places attacked electricity substation in Korenevo Kursk Oblast Russia; VIINA geocode resolved to Sumy-side homonym,FALSE
158725,20251127,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-11-27,UKRAINE_OCCUPIED_OTHER,Novoaidar electricity substation Luhansk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target explicitly in occupied Luhansk Oblast Ukraine,FALSE
