event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text,ru_scope_text,representative_text,Stage1Triage,CandidateCensusComplete,ScopeAutoV1,ManualReviewRequired,UnknownPriorityV2,UnknownPriorityReasonV2,RussiaTargetTextHitsV2,UkraineActorEvidenceV2,RussiaActorEvidenceV2,UkraineAdm1EvidenceV2,CrimeaAdm1EvidenceV2,RussiaReviewMethodEvidenceV2
73361,20250302,1,2276831,liveuamap,https://t.me/GeneralStaffZSU/21497,AMMUNITION_ARSENAL|REFINING_PETROCHEM_GAS,нафтоперероб|складу термобаричних боєприпас,удар,694677,Selydove,Donets'k,Novohrodivs'ka,37.30854,48.14859,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,0,a_rus_init_b,0,a_rus_b,1,TRUE,FALSE,Генштаб ЗСУ заявляє про удари по складу термобаричних боєприпасів у Селидовому на окупованій частині Донецької області та Ільському нафтопереробному заводі в Краснодарському краї.,REVIEW,FALSE,UNKNOWN,TRUE,M1_UA_ACTOR_UA_GEO,UA_ACTOR_WITH_UKRAINE_GEOCODE_REQUIRES_TEXT_CHECK,,TRUE,TRUE,TRUE,FALSE,FALSE
111939,20250311,1,2285567,unian,https://www.unian.ua/war/odesa-rosiya-vdarila-balistikoyu-po-morskomu-portu-novini-odesi-12942402.html,PORT_EXPORT_LOGISTICS,порт,атак,698740,Odessa,Odessa,Odes'ka,30.73169,46.48421,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,FALSE,FALSE,Росія атакувала балістикою Одеський порт: загинули моряки іноземного судна (фото),REVIEW,FALSE,UNKNOWN,TRUE,M1_UA_ACTOR_UA_GEO,UA_ACTOR_WITH_UKRAINE_GEOCODE_REQUIRES_TEXT_CHECK,,TRUE,TRUE,TRUE,FALSE,FALSE
82322,20250703,1,2400402,espreso,https://espreso.tv/viyna-z-rosiyeyu-droni-sbu-urazili-skladi-boepripasiv-rf-bilya-okupovanogo-khartsizka-na-donechchini,AMMUNITION_ARSENAL,склади боєприпас,Дрон,695094,Ruttschenkowo,Donets'k,Donets'ka,37.67529,47.95508,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,TRUE,FALSE,Дрони СБУ уразили склади боєприпасів РФ біля окупованого Харцизька на Донеччині,REVIEW,FALSE,UNKNOWN,TRUE,M1_UA_ACTOR_UA_GEO,UA_ACTOR_WITH_UKRAINE_GEOCODE_REQUIRES_TEXT_CHECK,,TRUE,TRUE,TRUE,FALSE,FALSE
186348,20250704,1,2424041,pravdaua,https://epravda.com.ua/energetika/armiya-rf-poshkodila-v-kiyevi-obladnannya-dtek-ta-znishchila-dvi-transformatorni-pidstanciji-808836/?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExV2NLUnVDUUhLRUlvU0dnUQEeTupisqosGL6qm9osHKaOdGag12VYeh2zjxeIPNXe3rOFxgob1KgoaSEFNdw_aem,ENERGY_GRID_SUPPORT,підстанц,знищ,703448,Kyiv,Kiev City,Shevchenkivs'kyi,30.52355,50.45044,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,FALSE,FALSE,Армія РФ пошкодила в Києві обладнання ДТЕК та знищила дві трансформаторні підстанції.,REVIEW,FALSE,UNKNOWN,TRUE,M1_UA_ACTOR_UA_GEO,UA_ACTOR_WITH_UKRAINE_GEOCODE_REQUIRES_TEXT_CHECK,,TRUE,TRUE,TRUE,FALSE,FALSE
186793,20250731,1,2457517,pravdaua,https://epravda.com.ua/energetika/armiya-rf-poshkodila-transformatornu-pidstanciyu-v-kiyevi-809842/,ENERGY_GRID_SUPPORT,підстанц,атак,703448,Kyiv,Kiev City,Shevchenkivs'kyi,30.52355,50.45044,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,FALSE,FALSE,В Києві атака РФ пошкодила трансформаторну підстанцію.,REVIEW,FALSE,UNKNOWN,TRUE,M1_UA_ACTOR_UA_GEO,UA_ACTOR_WITH_UKRAINE_GEOCODE_REQUIRES_TEXT_CHECK,,TRUE,FALSE,TRUE,FALSE,FALSE
325144,20250819,2,2530619|2532807,liga|pravdaua,https://news.liga.net/politics/news/drony-sbu-unichtozhili-dva-sklada-boepripasov-rossiyan-v-luganskoi-oblasti|https://www.pravda.com.ua/news/2025/08/19/7526895/,AMMUNITION_ARSENAL,склада боеприпас|склади боєприпас,Дрон|уничтож,712734,Baydivka,Luhans'k,Starobil's'kyi,38.90252,49.15874,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,TRUE,FALSE,Дроны СБУ уничтожили два склада боеприпасов россиян в Луганской области || Дрони СБУ запалили склади боєприпасів росіян на Луганщині.,REVIEW,FALSE,UNKNOWN,TRUE,M1_UA_ACTOR_UA_GEO,UA_ACTOR_WITH_UKRAINE_GEOCODE_REQUIRES_TEXT_CHECK,,TRUE,TRUE,TRUE,FALSE,FALSE
158715,20250924,1,2522655,liveuamap,https://t.me/GeneralStaffZSU/29306,AMMUNITION_ARSENAL,склад боєприпас,знищ,702658,Luhansk,Luhans'k,Luhans'ka,39.30771,48.5739,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,TRUE,FALSE,Генеральний штаб Збройних Сил України: 18 вересня українські війська знищили склад боєприпасів у Богданівці Луганської області,REVIEW,FALSE,UNKNOWN,TRUE,M1_UA_ACTOR_UA_GEO,UA_ACTOR_WITH_UKRAINE_GEOCODE_REQUIRES_TEXT_CHECK,,TRUE,TRUE,TRUE,FALSE,FALSE
358786,20251004,1,2523473,liveuamap,https://t.me/kyiv_times_official/78188,ENERGY_GRID_SUPPORT,підстанц,атак|безпілот,6930327,Slavutych,Chernihiv,Ripkyns'kyi,30.70777,51.52364,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,FALSE,FALSE,"Російські ЗМІ показують відео атаки безпілотників Shahed на підстанцію, що постачає електроенергію Чорнобильській електростанції",REVIEW,FALSE,UNKNOWN,TRUE,M1_UA_ACTOR_UA_GEO,UA_ACTOR_WITH_UKRAINE_GEOCODE_REQUIRES_TEXT_CHECK,,TRUE,TRUE,TRUE,FALSE,FALSE
112678,20251009,1,2531700,liga,https://news.liga.net/region_news/news/v-odesskoi-oblasti-gorel-port-i-chastnye-doma-iz-za-ataki-rossiyan-foto,PORT_EXPORT_LOGISTICS,порт,поврежд,698740,Odessa,Odessa,Odes'ka,30.73169,46.48421,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,FALSE,FALSE,"дополнено В Одесской области горел порт, в Черноморске блэкаут – поврежден энергообъект – фото",REVIEW,FALSE,UNKNOWN,TRUE,M1_UA_ACTOR_UA_GEO,UA_ACTOR_WITH_UKRAINE_GEOCODE_REQUIRES_TEXT_CHECK,,TRUE,TRUE,TRUE,FALSE,FALSE
90342,20251010,1,2524129,liveuamap,https://t.me/operativnoZSU/193757,FUEL_STORAGE_TERMINAL,нафтобаз,Дрон|атак|пожеж,696108,Pryluky,Chernihiv,Pryluts'ka,32.39881,50.56754,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,FALSE,FALSE,"Дрон атакував нафтобазу в Прилуках, спричинивши пожежу",REVIEW,FALSE,UNKNOWN,TRUE,M1_UA_ACTOR_UA_GEO,UA_ACTOR_WITH_UKRAINE_GEOCODE_REQUIRES_TEXT_CHECK,,TRUE,TRUE,TRUE,FALSE,FALSE
