event_id_1pd,viina_date,auto_decision,manual_decision,canonical_event_date,manual_reason,related_event_id,split_required,hidden_russia_case,confidence,source_url
373644,20250312,UNRESOLVED,PROMOTE_RUSSIA,20250311,"Druzhba interruption refers to the Ukrainian strike on the Russian Druzhba-system facility in Oryol region; Russia-proper location is externally corroborated despite VIINA geocoding to Donetsk.",,FALSE,TRUE,HIGH,https://t.me/rentv_news/170964
373677,20250818,UNRESOLVED,PROMOTE_RUSSIA,20250818,"Ukrainian General Staff reported the strike on the Nikolskoye oil pumping station in Tambov Oblast, Russia, which stopped flow through Druzhba.",,FALSE,TRUE,HIGH,https://news.liga.net/politics/news/udar-vsu-polnostyu-ostanovil-nefteprovod-druzhba-genshtab
373735,20250909,UNRESOLVED,PROMOTE_RUSSIA,20250907,"The cited Naitopovichi 8-N pumping station is in Bryansk Oblast, Russian Federation; the underlying strike occurred on the night of 6-7 September 2025.",,FALSE,TRUE,HIGH,https://t.me/operativnoZSU/191221
373736,20250910,UNRESOLVED,DROP_DUPLICATE,20250907,"Exact same source URL and representative text as event 373735; duplicate VIINA day-row for the 6-7 September Naitopovichi strike.",373735,FALSE,TRUE,HIGH,https://t.me/operativnoZSU/191221
271096,20251003,UNRESOLVED,DROP_OUTSIDE_RUSSIA_PROPER,20251003,"Strike on an ammunition depot in Donetsk city, internationally recognized Ukrainian territory under Russian occupation; outside Russia-proper census scope.",,FALSE,FALSE,HIGH,https://t.me/exilenova_plus/12761
271097,20251004,UNRESOLVED,DROP_DUPLICATE,20251003,"Exact same source URL and text as 271096; duplicate report of the Donetsk ammunition-depot strike, which is outside Russia proper.",271096,FALSE,FALSE,HIGH,https://t.me/exilenova_plus/12761
155768,20260113,UNRESOLVED,DROP_OUTSIDE_RUSSIA_PROPER,20260113,"Composite report on a Mariupol blackout and an ammunition-depot strike in Makiivka; both targets are in internationally recognized Ukrainian territory under Russian occupation.",,TRUE,FALSE,HIGH,https://espreso.tv/viyna-z-rosiyeyu-droni-sbs-zanurili-mariupol-u-blekaut-ta-urazili-vorozhiy-sklad-boepripasiv-u-makiivtsi
155769,20260113,UNRESOLVED,DROP_OUTSIDE_RUSSIA_PROPER,20260113,"Mariupol substation strike and blackout; genuine event but outside Russia-proper scope. It overlaps the Mariupol component of composite row 155768 but is not collapsed without target-level splitting.",155768,FALSE,FALSE,HIGH,https://news.liga.net/politics/video/sily-bespilotnyh-sistem-udarili-po-podstantsii-v-mariupole-v-gorode-byl-blekaut-video
155773,20260117,UNRESOLVED,DROP_OUTSIDE_RUSSIA_PROPER,20260117,"Fresh drone strike/fire at Azovska substation in occupied Mariupol; distinct from 13 January but outside Russia proper.",,FALSE,FALSE,HIGH,https://t.me/supernova_plus/47447
299918,20260203,UNRESOLVED,DROP_OUTSIDE_RUSSIA_PROPER,20260203,"Composite strike report covering Russian ammunition depots in occupied parts of Zaporizhzhia and Donetsk oblasts; internationally recognized Ukrainian territory.",,TRUE,FALSE,HIGH,https://militarnyi.com/uk/news/sso-dronamy-urazyly-sklady-boyeprypasiv-rosiyan-u-zaporizkij-ta-donetskij-oblastyah/
405946,20260213,UNRESOLVED,PROMOTE_RUSSIA,20260212,"The 1,750-km refinery strike is the Ukhta refinery in Russia's Komi Republic; VIINA's 'Novyi' geocode is erroneous.",,FALSE,TRUE,HIGH,https://www.unian.ua/war/noviy-rekord-ukrajinski-droni-vdarili-po-npz-za-1750-km-vid-kordonu-bi-13284993.html
299928,20260223,UNRESOLVED,DROP_OUTSIDE_RUSSIA_PROPER,20260223,"Two Tor systems near occupied Donetsk and an oil depot in Luhansk are targets in internationally recognized Ukrainian territory; composite outside-scope event.",,TRUE,FALSE,HIGH,https://militarnyi.com/uk/news/ukrayinski-bpla-sbs-znyshhyly-dva-zrk-tor-ta-naftobazu-na-donbasi/
403096,20260223,UNRESOLVED,PROMOTE_RUSSIA,20260223,"Kaleikino oil pumping station near Almetyevsk is in the Republic of Tatarstan, Russia; confirmed Druzhba oil-transport hub strike.",,FALSE,TRUE,HIGH,https://espreso.tv/viyna-z-rosiyeyu-nps-kaleykino-na-naftovomu-truboprovodi-druzhba-zaznala-nichnoi-ataki
403101,20260224,UNRESOLVED,DROP_NOT_EVENT,20260224,"Political statement about whether to restore Druzhba and Russian attacks on repair crews; it does not describe a new Ukrainian deep-strike event.",,FALSE,FALSE,HIGH,https://news.liga.net/politics/news/zelenskii-ne-vidit-smysla-vosstanavlivat-nefteprovod-druzhba-rf-atakuet-remontnye-brigady
299946,20260309,UNRESOLVED,DROP_OUTSIDE_RUSSIA_PROPER,20260309,"Ammunition depot at Tochmash plant in Donetsk city; genuine strike but outside Russia-proper scope.",,FALSE,FALSE,HIGH,https://t.me/kiber_boroshno/12631
155840,20260311,UNRESOLVED,DROP_OUTSIDE_RUSSIA_PROPER,20260311,"Ammunition-depot strike in occupied Mariupol; genuine event on internationally recognized Ukrainian territory.",,FALSE,FALSE,HIGH,https://militarnyi.com/uk/news/syly-oborony-urazyly-sklad-iz-boyeprypasamy-rosiyan-u-mariupoli/
155842,20260312,UNRESOLVED,DROP_OUTSIDE_RUSSIA_PROPER,20260312,"Follow-on Ukrainian strike on evacuated Russian equipment after the prior depot strike near Mariupol; distinct event but outside Russia proper.",155840,FALSE,FALSE,HIGH,https://militarnyi.com/uk/news/skupchennya-tehniky-evakuyuvaly-zi-skladu/
76415,20260316,UNRESOLVED,DROP_OUTSIDE_RUSSIA_PROPER,20260315,"Satellite-confirmed aftermath of a Ukrainian strike on an ammunition/air-defence missile depot in occupied Dovzhansk, Luhansk Oblast; outside Russia proper.",,FALSE,FALSE,HIGH,https://militarnyi.com/uk/news/znyshhyly-sklad-zenitnyh-raket-luganshhyna/
76416,20260409,UNRESOLVED,DROP_OUTSIDE_RUSSIA_PROPER,20260409,"Separate later attack on a probable Russian ammunition depot in occupied Dovzhansk, Luhansk Oblast; outside Russia proper and not a duplicate of 76415.",,FALSE,FALSE,HIGH,https://militarnyi.com/uk/news/syly-oborony-znyshhyly-na-luganshhyni-sklad/
378313,20260411,UNRESOLVED,PROMOTE_RUSSIA,20260411,"Composite Russia-proper report: oil facilities in Tver and the Krymskaya pumping station in Krasnodar Krai were struck. Must be split into target-level events before census counting.",,TRUE,TRUE,HIGH,https://interfax.com.ua/news/general/1158494.html
403168,20260421,UNRESOLVED,DROP_DUPLICATE,20260421,"Exact same NV source, date and Samara/Druzhba attack as strict event 431557; duplicate geocoded row.",431557,FALSE,TRUE,HIGH,https://nv.ua/ukr/world/countries/droni-sbu-vrazila-vorozhu-naftostanciyu-samara-yaka-formuye-eksportniy-sort-nafti-urals-dzherela-nv-50601865.html
274495,20260608,UNRESOLVED,PROMOTE_RUSSIA,20260608,"Fresh Ukrainian strike on the Grushovaya oil transfer depot at Novorossiysk, Krasnodar Krai, Russia; one of the largest petroleum storage facilities in the Caucasus.",,FALSE,TRUE,HIGH,https://www.unian.ua/war/novorosiysk-droni-atakuvali-odnu-z-naybilshih-naftobaz-na-kavkazi-13405227.html
