event_id_1pd,date,n_reports_viina,raw_reports_matching,event_ids_matching,sources_matching,source_urls,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,GEO_PRECISION,a_ukr,a_rus,t_mil,t_airstrike,t_artillery,t_property,t_raid,target_class_auto,matched_target_terms,matched_attack_terms,representative_text,russia_geonames_gate,study_period_gate,manual_review_required,candidate_status
347733,20220224,15,1,147024,mz,https://www.facebook.com/anton.gerashchenko.7/posts/4865046130248862,,,,,30.2033074001998,45.25480665,ADM3,,,,,,,,STRATEGIC_AIRBASE,аэродром,Уничтож|ракет,"Российские СМИ публикуют информацию от Минобороны России. Территория в районе Чернобыльской АЭС накануне была взята под полный контроль российских войск, с военнослужащими украинского батальона охраны станции «достигнута договоренность о совместном обеспечении безопасности», радиоактивный фон в норме (при этом в инспекции ядерного регулирования Украины говорят, что радиоционный фон повысился из-за перемещения тяжеловесной техники по земле). В районе острова Змеиный сдались 82 украинских военных, с них берут подписку об отказе от боев и отпускают, утверждают в министерстве. Всего сложили оружие более 150 военных. Уничтожено 11 военных аэродромов, 13 пунктов управления, 14 зенитных ракетных комплексов ПВО, 36 радиолокационных станций, 11 летательных аппаратов, 18 бронированных машин, семь систем залпового огня.",TRUE,TRUE,TRUE,DISCOVERY_ONLY
347748,20220225,6,1,147349,mz,https://zona.media/online/2022/02/24/war-2,,,,,30.2033074001998,45.25480665,ADM3,,,,,,,,STRATEGIC_AIRBASE,аэродром,Уничтож|ракет,"Российские СМИ публикуют информацию от Минобороны России.  Территория в районе Чернобыльской АЭС накануне была взята под полный контроль российских войск, с военнослужащими украинского батальона охраны станции «достигнута договоренность о совместном обеспечении безопасности», радиоактивный фон в норме (при этом в инспекции ядерного регулирования Украины говорят, что радиоционный фон повысился из-за перемещения тяжеловесной техники по земле).  В районе острова Змеиный сдались 82 украинских военных, с них берут подписку об отказе от боев и отпускают, утверждают в министерстве. Всего сложили оружие более 150 военных.   Уничтожено 11 военных аэродромов, 13 пунктов управления, 14 зенитных ракетных комплексов ПВО, 36 радиолокационных станций, 11 летательных аппаратов, 18 бронированных машин, семь систем залпового огня.",TRUE,TRUE,TRUE,DISCOVERY_ONLY
348205,20220623,1,1,325874,espreso,https://espreso.tv/zsu-znishchili-dva-skladi-boepripasiv-ta-vrazili-raketniy-kompleks-rf-na-zmiinomu-ok-pivden,,,,,30.2033074001998,45.25480665,ADM3,,,,,,,,AMMUNITION_ARSENAL,склади боєприпас,знищ|ракет,ЗСУ знищили два склади боєприпасів та вразили ракетний комплекс РФ на Зміїному,TRUE,TRUE,TRUE,DISCOVERY_ONLY
347579,20220724,2,1,75952,liveuamap,https://t.me/operativnoZSU/33454,,,,,30.75794,46.48646,ADM1,,,,,,,,PORT_EXPORT_LOGISTICS,порт,атак|ракет,"Російська армія атакувала Одеський морський порт 4 ракетами, 2 були збиті ППО – ПДВ",TRUE,TRUE,TRUE,DISCOVERY_ONLY
347580,20220725,2,1,76099,liveuamap,https://t.me/operativnoZSU/33454,,,,,30.75794,46.48646,ADM1,,,,,,,,PORT_EXPORT_LOGISTICS,порт,атак|ракет,"Російська армія атакувала Одеський морський порт 4 ракетами, 2 були збиті ППО – ПДВ",TRUE,TRUE,TRUE,DISCOVERY_ONLY
348491,20221007,7,4,1619408|1619443|1621921|1621932,militarnyy|nv,https://mil.in.ua/uk/news/naftobazu-u-feodosiyi-urazyly-raketni-vijska-zsu/|https://mil.in.ua/uk/news/u-feodosiyi-pislya-nichnoyi-ataky-droniv-zagorilasya-naftobaza/|https://nv.ua/ukr/ukraine/events/pozhezha-u-feodosiji-7-zhovtnya-pislya-ataki-bezpilotnikiv-gorit-naftobaza-shcho-vidomo-50456351.html|https://nv.ua/ukr/ukraine/events/sili-oboroni-vnochi-atakuvali-morskiy-naftoviy-terminal-v-okupovaniy-feodosiji-genshtab-zsu-50456365.html,,,,,35.383911,45.026654,ADM3,,,,,,,,FUEL_STORAGE_TERMINAL|PORT_EXPORT_LOGISTICS,Нафтобаз|морський нафтовий термінал|нафтобаз|нафтовий термінал,атак|дрон|ракет,"У Феодосії після нічної атаки дронів загорілася нафтобаза. У Феодосії в тимчасово окупованому Криму вночі 7 жовтня загорілася нафтобаза.  Про це повідомляють телеграм-канали і публікують відео від очевидц... || В окупованій Феодосії горить нафтобаза після атаки дронів — відео || Нафтобазу у Феодосії уразили ракетні війська ЗСУ. Нафтобазу у Феодосії в тимчасово окупованому Криму вночі 7 жовтня уразили підрозділи ракетних військ Збройних Сил України у взаємодії з іншими скла... || Найбільший у Криму. Сили оборони вночі атакували морський нафтовий термінал в окупованій Феодосії - Генштаб ЗСУ",TRUE,TRUE,TRUE,DISCOVERY_ONLY
348493,20221008,3,1,1624594,nv,https://nv.ua/ukr/ukraine/events/feodosiya-na-teritoriji-npz-yakiy-atakuvali-zsu-z-2022-stoyala-sistema-ppo-pancir-s1-50456648.html,,,,,30.2033074001998,45.25480665,ADM3,,,,,,,,FUEL_STORAGE_TERMINAL,нафтобаз,атак,"Не допоміг відбити атаку. На території нафтобази у Феодосії, яку уразили ЗСУ, стояв Панцир-С1 — супутникові знімки",TRUE,TRUE,TRUE,DISCOVERY_ONLY
348494,20221008,1,1,1624620,nv,https://nv.ua/ukr/ukraine/events/udar-po-naftobazi-u-feodosiji-zmi-povidomili-pro-ataku-raketami-atacms-50456823.html,,,,,35.383911,45.026654,ADM3,,,,,,,,FUEL_STORAGE_TERMINAL,Нафтобаз,атак|ракет,Нафтобазу у Феодосії могли атакувати ракетами ATACMS — ЗМІ,TRUE,TRUE,TRUE,DISCOVERY_ONLY
348495,20221008,1,1,1624601,nv,https://nv.ua/ukr/ukraine/events/udar-po-naftobazi-u-feodosiji-pozhezhu-namagayutsya-zagasiti-drugu-dobu-video-50456694.html,,,,,35.383911,45.026654,ADM3,,,,,,,,FUEL_STORAGE_TERMINAL,нафтобаз,атак,"У Феодосії другу добу поспіль горить найбільша у Криму нафтобаза, яку атакували Сили оборони",TRUE,TRUE,TRUE,DISCOVERY_ONLY
348499,20221010,1,1,1888654,nv,https://nv.ua/ukr/ukraine/events/feodosiya-10-zhovtnya-vibuhnula-chergova-cisterna-zagasiti-pozhezhu-nemozhlivo-50457554.html,,,,,35.383911,45.026654,ADM3,,,,,,,,FUEL_STORAGE_TERMINAL,нафтобаз,вибух|пожеж,«Загасити пожежу неможливо». На нафтобазі у Феодосії вибухнула чергова цистерна — відео,TRUE,TRUE,TRUE,DISCOVERY_ONLY
