event_id_1pd,date,n_reports_viina,raw_reports_matching,event_ids_matching,sources_matching,source_urls,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,GEO_PRECISION,raw_ru_geonameids,raw_ru_places,raw_ru_ADM1,raw_ru_ADM2,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,t_mil_field,t_mil,t_uav_field,t_uav,t_airstrike_field,t_airstrike,t_artillery_field,t_artillery,t_property_field,t_property,t_raid_field,t_raid,target_class_auto,matched_target_terms,matched_attack_terms,representative_text,ukrainian_initiator_gate,onepd_russia_geonames_gate,raw_russia_mention_gate,study_period_gate,manual_review_required,candidate_status
399662,20251008,1,1,2500654,espreso,https://espreso.tv/viyna-z-rosiyeyu-pozhezha-na-naftobazi-v-feodosii-pislya-vluchannya-bpla-virue-tretiy-den-okupatsiyna-vlada-movchit-lyudi-viizhdzhayut,,,,,35.38391,45.02665,ADM3,,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,0,t_airstrike_b,0,t_artillery_b,0,t_property_b,0,t_raid_b,0,FUEL_STORAGE_TERMINAL,нафтобаз,Пожеж,"Пожежа на нафтобазі в Феодосії після влучання БПЛА вирує третій день, окупаційна влада мовчить, люди виїжджають",TRUE,FALSE,TRUE,TRUE,TRUE,REVIEW_LOCATION_NOT_CONFIRMED_BY_1PD
399666,20251013,1,1,2502421,unian,https://www.unian.ua/war/feodosiya-naftobaza-znovu-gorit-pislya-ataki-bezpilotnikiv-13160697.html,,,,,35.38391,45.02665,ADM3,,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,1,t_raid_b,0,FUEL_STORAGE_TERMINAL,нафтобаз,атак|дрон,"Вдруге за тиждень: у Феодосії потужно палає нафтобаза після атаки дронів (фото, відео)",TRUE,FALSE,TRUE,TRUE,TRUE,REVIEW_LOCATION_NOT_CONFIRMED_BY_1PD
399670,20251015,1,1,2531842,liga,https://news.liga.net/politics/news/podtverzhden-udar-po-neftetebaze-v-feodosii-povrezhdeny-16-rezervuarov-pozhar-prodolzhaetsya,,,,,35.38391,45.02665,ADM3,,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,0,t_airstrike_b,0,t_artillery_b,0,t_property_b,1,t_raid_b,1,FUEL_STORAGE_TERMINAL,нефтебаз,поврежд|пожар|удар,"Подтвержден удар по нефтебазе в Феодосии: повреждены 16 резервуаров, пожар продолжается",TRUE,FALSE,TRUE,TRUE,TRUE,REVIEW_LOCATION_NOT_CONFIRMED_BY_1PD
399674,20251018,1,1,2531900,liga,https://news.liga.net/politics/news/poyavilsya-sputnikovyi-snimok-neftyanogo-terminala-v-okkupirovannoi-feodosii-posle-udarov,,,,,35.38391,45.02665,ADM3,,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,1,t_raid_b,1,FUEL_STORAGE_TERMINAL,нефтяного терминал,удар,Появился спутниковый снимок нефтяного терминала в оккупированной Феодосии после ударов,TRUE,FALSE,TRUE,TRUE,TRUE,REVIEW_LOCATION_NOT_CONFIRMED_BY_1PD
431493,20260128,1,1,3424377,pravdaua,https://www.pravda.com.ua/news/2026/01/28/8018263/,,,,,35.38391,45.02665,ADM3,,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,1,t_raid_b,1,FUEL_STORAGE_TERMINAL|PORT_EXPORT_LOGISTICS,нафтобаз|порт,атак|дрон,Фото У Феодосії дрони атакували місцевий порт та нафтобазу – ЗМІ.,TRUE,FALSE,TRUE,TRUE,TRUE,REVIEW_LOCATION_NOT_CONFIRMED_BY_1PD
431536,20260408,1,1,3412772,militarnyy,https://militarnyi.com/uk/news/u-feodosiyi-zagorilasya-naftobaza-pislya-udaru-droniv/,,,,,35.38391,45.02665,ADM3,,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,0,t_raid_b,0,FUEL_STORAGE_TERMINAL,нафтобаз,безпілот|дрон|удар,"У Феодосії загорілася нафтобаза після удару дронів. У Феодосії, що у тимчасово окупованому Криму, вночі 8 квітня загорілася нафтобаза, яка забезпечує російську армію паливом. Про це повідомляють моніторингові канали «Крымский ветер» і Exilenova+. Ціллю українських безпілотників став АТ «Морсь...",TRUE,FALSE,TRUE,TRUE,TRUE,REVIEW_LOCATION_NOT_CONFIRMED_BY_1PD
431539,20260416,1,1,3412830,militarnyy,https://militarnyi.com/uk/news/drony-zavdaly-udaru-po-elektropidstantsiyi-u-byelgorodi/,,,,,36.58734,50.59556,ADM3,,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,1,t_raid_b,0,ENERGY_GRID_SUPPORT,підстанц,Дрон|атак|безпілот|удар,"Дрони завдали удару по електропідстанції у Бєлгороді. Вранці у четвер, 16 квітня, дрони завдали удару по електропідстанції у російському місті Бєлгород. Про це повідомив місцевий Telegram-канал «Пепел» і показав наслідки ураження. За наявною інформацією, безпілотники атакували підстанцію «Южная...",TRUE,FALSE,TRUE,TRUE,TRUE,REVIEW_LOCATION_NOT_CONFIRMED_BY_1PD
431557,20260421,1,1,3413145,nv,https://nv.ua/ukr/world/countries/droni-sbu-vrazila-vorozhu-naftostanciyu-samara-yaka-formuye-eksportniy-sort-nafti-urals-dzherela-nv-50601865.html,,,,,50.20393,53.21946,ADM3,,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,0,t_raid_b,1,PIPELINE_PUMPING,нафтопров,Дрон,"Дрони СБУ уразили російську станцію Самара нафтопроводу Дружба, яка формує експортний сорт нафти Urals — джерела NV",TRUE,FALSE,TRUE,TRUE,TRUE,REVIEW_LOCATION_NOT_CONFIRMED_BY_1PD
431572,20260508,1,1,3542619,pravdaua,https://www.pravda.com.ua/news/2026/05/08/8033713/,,,,,39.70961,47.22165,ADM3,,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,t_mil_b,1,t_uav_b,0,t_airstrike_b,0,t_artillery_b,1,t_property_b,0,t_raid_b,0,REFINING_PETROCHEM_GAS,НПЗ,Дрон|атак|пожеж,"Оновлено, відео Дрони атакували Москву, НПЗ у Ярославлі та Ростов: спалахнули пожежі.",TRUE,FALSE,TRUE,TRUE,TRUE,REVIEW_LOCATION_NOT_CONFIRMED_BY_1PD
431597,20260530,1,1,3693516,militarnyy,https://militarnyi.com/uk/news/sbs-urazyly-dva-litaky-tu-142-v-taganrozi/,,,,,38.92852,47.21537,ADM3,,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,1,t_raid_b,1,STRATEGIC_AIRBASE,аеродром,Удар|безпілот|дрон,СБС уразили два протичовнові літаки Ту-142 в Таганрозі. У ніч на 30 травня Сили безпілотних систем уразили два протичовнові літаки Ту-142 на військовому аеродромі в Таганрозі. Про це повідомив командувач СБС Роберт «Мадяр» Бровді на своїх сторінках у соцмережах. Ударів завдали дронами-камікадзе вели...,TRUE,FALSE,TRUE,TRUE,TRUE,REVIEW_LOCATION_NOT_CONFIRMED_BY_1PD
