event_id_1pd,date,n_reports_viina,raw_reports_matching,event_ids_matching,sources_matching,source_urls,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,GEO_PRECISION,raw_geonameids,raw_places,raw_ADM1,raw_ADM2,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,t_mil_field,t_mil,t_uav_field,t_uav,t_airstrike_field,t_airstrike,t_artillery_field,t_artillery,t_property_field,t_property,t_raid_field,t_raid,target_class_auto,matched_target_terms,matched_attack_terms,representative_text,ukrainian_initiator_gate,russia_location_gate,russia_location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,study_period_gate,manual_review_required,candidate_status,ReviewDecisionAuto,DecisionReason,EventGate,EventGateReason,LocationEvidence,TextGeoConflict,SplitRequired,RelatedEventID,DecisionConfidence,PriorityGroup,ManualDecisionRequired
67786,20250605,1,1,2370146,unian,https://www.unian.ua/world/viyna-v-ukrajini-chomu-tramp-ne-vidreaguvav-na-udari-sbu-po-aerodromah-rf-13028913.html,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,ADM3,693805,Simferopol,Crimea,Simferopol's'ka,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,t_mil_b,1,t_uav_b,0,t_airstrike_b,0,t_artillery_b,0,t_property_b,0,t_raid_b,0,STRATEGIC_AIRBASE,аеродром,удар,"Експерт припустив, чому Трамп мовчить про удари України по аеродромах РФ та Кримському мосту",TRUE,UNCERTAIN,REVIEW_DISPUTED_CRIMEA,,,,TRUE,TRUE,REVIEW_DISPUTED_CRIMEA,DROP_NOT_EVENT,STRONG_COMMENTARY_OR_RETROSPECTIVE_CUE,FAIL,STRONG_COMMENTARY_OR_RETROSPECTIVE_CUE,CRIMEA,FALSE,FALSE,,HIGH,1_EVENT_GATE,FALSE
67828,20250628,1,1,2427790,liga,https://news.liga.net/politics/news/sputnik-nasa-zafiksiroval-bolshoi-pozhar-na-aerodrome-kirovskoe-v-krymu-posle-udara-sbu,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,ADM3,693805,Simferopol,Crimea,Simferopol's'ka,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,0,t_airstrike_b,0,t_artillery_b,0,t_property_b,1,t_raid_b,1,STRATEGIC_AIRBASE,аэродром,пожар|удар,"На аэродроме """"Кировское"""" в оккупированном Крыму случился большой пожар после удара СБУ",TRUE,UNCERTAIN,REVIEW_DISPUTED_CRIMEA,,,,TRUE,TRUE,REVIEW_DISPUTED_CRIMEA,DROP_NOT_EVENT,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,FAIL,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,CRIMEA,FALSE,FALSE,,HIGH,1_EVENT_GATE,FALSE
373678,20250818,1,1,2532768,pravdaua,https://www.pravda.com.ua/news/2025/08/18/7526736/,9114074,Druzhba,Donets'k,Kostiantynivs'kyi,37.91028,48.41,ADM3,9114074,Druzhba,Donets'k,Kostiantynivs'kyi,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,0,t_airstrike_b,1,t_artillery_b,1,t_property_b,0,t_raid_b,1,PIPELINE_PUMPING,Нафтопров,удар,"Нафтопровід """"Дружба"""" зупинив роботу після удару Сили оборони по станції """"Нікольське"""" в РФ.",TRUE,UNCERTAIN,REVIEW_NAME_ONLY_RU_SUPPORT,,,Druzhba,TRUE,TRUE,REVIEW_NAME_ONLY_RU_SUPPORT,DROP_NOT_EVENT,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,FAIL,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,EXPLICIT_RUSSIA_LOCATION_TEXT,TRUE,FALSE,,HIGH,1_EVENT_GATE,FALSE
399674,20251018,1,1,2531900,liga,https://news.liga.net/politics/news/poyavilsya-sputnikovyi-snimok-neftyanogo-terminala-v-okkupirovannoi-feodosii-posle-udarov,,,,,35.38391,45.02665,ADM3,,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,1,t_raid_b,1,FUEL_STORAGE_TERMINAL,нефтяного терминал,удар,Появился спутниковый снимок нефтяного терминала в оккупированной Феодосии после ударов,TRUE,UNCERTAIN,REVIEW_DISPUTED_CRIMEA,,,,TRUE,TRUE,REVIEW_DISPUTED_CRIMEA,DROP_NOT_EVENT,STRONG_COMMENTARY_OR_RETROSPECTIVE_CUE,FAIL,STRONG_COMMENTARY_OR_RETROSPECTIVE_CUE,CRIMEA,FALSE,FALSE,,HIGH,1_EVENT_GATE,FALSE
367108,20251107,1,1,2526580,liveuamap,https://t.me/Crimeanwind/89135,8997506,Bitumnoye,Crimea,Simferopol's'kyi,34.04148,45.0291,ADM3,8997506,Bitumnoye,Crimea,Simferopol's'kyi,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,1,t_raid_b,0,FUEL_STORAGE_TERMINAL,нафтобаз,дрон|пожеж|удар,Повідомляється про пожежу після удару дрона на нафтобазі поблизу Сімферополя вночі,TRUE,UNCERTAIN,REVIEW_DISPUTED_CRIMEA,,,,TRUE,TRUE,REVIEW_DISPUTED_CRIMEA,DROP_NOT_EVENT,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,FAIL,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,CRIMEA,FALSE,FALSE,,HIGH,1_EVENT_GATE,FALSE
367109,20251108,1,1,2526717,liveuamap,https://t.me/Crimeanwind/89135,8997506,Bitumnoye,Crimea,Simferopol's'kyi,34.04148,45.0291,ADM3,8997506,Bitumnoye,Crimea,Simferopol's'kyi,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,0,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,1,t_raid_b,0,FUEL_STORAGE_TERMINAL,нафтобаз,дрон|пожеж|удар,Повідомляється про пожежу після удару дрона на нафтобазі поблизу Сімферополя вночі,TRUE,UNCERTAIN,REVIEW_DISPUTED_CRIMEA,,,,TRUE,TRUE,REVIEW_DISPUTED_CRIMEA,DROP_NOT_EVENT,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,FAIL,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,CRIMEA,FALSE,FALSE,,HIGH,1_EVENT_GATE,FALSE
299997,20260301,1,1,3412474,militarnyy,https://militarnyi.com/uk/news/u-makiyivtsi-pislya-udaru-droniv-spalahnula-naftobaza/,709717,Donetsk,Donets'k,Donets'ka,37.80285,48.01588,ADM3,709717,Donetsk,Donets'k,Donets'ka,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,1,t_raid_b,1,FUEL_STORAGE_TERMINAL,нафтобаз,атак|дрон|удар,"У Макіївці після удару дронів спалахнула нафтобаза. У тимчасово окупованій Макіївці, передмісті Донецька, після атаки дронів Сил оборони України спалахнула нафтобаза. Про це повідомив Telegram-канал Supernova+ та опублікував відео з місця події. Атака на об’єкт дронами відбулася в ніч на перш...",TRUE,UNCERTAIN,REVIEW_NAME_ONLY_RU_SUPPORT,,,Donetsk,TRUE,TRUE,REVIEW_NAME_ONLY_RU_SUPPORT,DROP_NOT_EVENT,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,FAIL,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,INSUFFICIENT,FALSE,FALSE,,HIGH,1_EVENT_GATE,FALSE
431627,20260408,1,1,3412772,militarnyy,https://militarnyi.com/uk/news/u-feodosiyi-zagorilasya-naftobaza-pislya-udaru-droniv/,,,,,35.38391,45.02665,ADM3,,,,,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,0,t_raid_b,0,FUEL_STORAGE_TERMINAL,нафтобаз,безпілот|дрон|удар,"У Феодосії загорілася нафтобаза після удару дронів. У Феодосії, що у тимчасово окупованому Криму, вночі 8 квітня загорілася нафтобаза, яка забезпечує російську армію паливом. Про це повідомляють моніторингові канали «Крымский ветер» і Exilenova+. Ціллю українських безпілотників став АТ «Морсь...",TRUE,UNCERTAIN,REVIEW_DISPUTED_CRIMEA,,,,TRUE,TRUE,REVIEW_DISPUTED_CRIMEA,DROP_NOT_EVENT,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,FAIL,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,CRIMEA,FALSE,FALSE,,HIGH,1_EVENT_GATE,FALSE
73695,20260408,1,1,3412774,militarnyy,https://militarnyi.com/uk/news/u-feodosiyi-zagorilasya-naftobaza-pislya-udaru-droniv/,693805,Simferopol,Crimea,Simferopol's'ka,34.09941,44.95363,ADM3,693805,Simferopol,Crimea,Simferopol's'ka,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,1,t_airstrike_b,0,t_artillery_b,0,t_property_b,0,t_raid_b,0,FUEL_STORAGE_TERMINAL,нафтобаз,безпілот|дрон|удар,"У Феодосії загорілася нафтобаза після удару дронів. У Феодосії, що у тимчасово окупованому Криму, вночі 8 квітня загорілася нафтобаза, яка забезпечує російську армію паливом. Про це повідомляють моніторингові канали «Крымский ветер» і Exilenova+. Ціллю українських безпілотників став АТ «Морсь...",TRUE,UNCERTAIN,REVIEW_DISPUTED_CRIMEA,,,,TRUE,TRUE,REVIEW_DISPUTED_CRIMEA,DROP_NOT_EVENT,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,FAIL,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,CRIMEA,FALSE,FALSE,,HIGH,1_EVENT_GATE,FALSE
79172,20260624,1,1,3866686,nv,https://nv.ua/ukr/ukraine/events/ataka-na-pidstanciyu-sevastopolya-masshtabna-pozhezha-misto-bez-svitla-50618755.html,694423,Sevastopol,Sevastopol',Lenins'kyi,33.52291,44.60105,ADM3,694423,Sevastopol,Sevastopol',Lenins'kyi,a_ukr_init_b,1,a_ukr_b,1,a_rus_init_b,0,a_rus_b,1,t_mil_b,1,t_uav_b,0,t_airstrike_b,0,t_artillery_b,0,t_property_b,1,t_raid_b,1,ENERGY_GRID_SUPPORT,підстанц,удар,Окупований Севастополь повністю залишився без світла після ударів по головній електропідстанції,TRUE,UNCERTAIN,REVIEW_DISPUTED_CRIMEA,,,,TRUE,TRUE,REVIEW_DISPUTED_CRIMEA,DROP_NOT_EVENT,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,FAIL,FOLLOWUP_EFFECT_WITHOUT_FRESH_ATTACK,CRIMEA,FALSE,FALSE,,HIGH,1_EVENT_GATE,FALSE
